model_id,feature_set,features,feature_count,alpha,cap,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_base_r68,calibration_oof_r68,relative_r68_improvement,calibration_base_r90,calibration_oof_r90,relative_r90_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
S04_top_bottom_xy_a3000_c50,S04_top_bottom_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|xS2B_max|yS2B_max,6,3000.0,0.005,0.04178090146749322,0.04236127531488458,-0.013890888588004913,0.06774135758272384,0.06813051444062422,-0.00574474548174142,0.1312197664911172,0.1307633145164379,0.003478530612308184,12,0.1575416566932515,0.5841658521528885,0.001821081331344205,0.4146818251967694,0.0,0.0030539430895761936,0.9999858910190661,1.0886904761904763,0.9577922077922078,0.0,0.9955761621785582,1.0044756214645658,0.00019228614016308931,0.015542943767519968,10,14,False
S08_s2_shape_a300_c50,S08_s2_shape,dt|wS2CDF_max|wS2FWHM_max|tDiffBottomTopS2_max,4,300.0,0.005,0.04178090146749322,0.04237210524159261,-0.014150096176344107,0.06774135758272384,0.06799569204894568,-0.003754493197324127,0.1312197664911172,0.13113402306424893,0.0006534337711542326,12,0.1581650214476632,0.3331035547096044,0.009053963681259323,0.6653428674314522,0.0,0.002172872638913659,0.9999906995869645,0.9995421245421245,0.9429223744292238,0.0,0.9955955860247048,1.0044460105647783,0.00046814595925459557,0.015000570168235416,10,14,False
S10_corrected_position_a100_c75,S10_corrected_position,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,100.0,0.0075,0.04178090146749322,0.042397801595361176,-0.014765122488989979,0.06774135758272384,0.06782276495955737,-0.00120173819566749,0.1312197664911172,0.13119940755242965,0.0001551514625574013,12,0.15855049343132832,0.3783322187355317,0.005247183497093472,0.6203302639024642,0.0,0.004314793682943547,0.9999763662327715,1.034275248560963,1.034275248560963,0.0,0.9934248870316043,1.0067103463858293,0.0006454681738090606,0.013831544178365018,10,14,False
S01_M06_reference_a100_c50,S01_M06_reference,dt|wS2CDF_max,2,100.0,0.005,0.04178090146749322,0.04241637445155008,-0.015209652298940446,0.06774135758272384,0.06793922531472753,-0.0029209295335135277,0.1312197664911172,0.1311223217156281,0.0007426074447075548,12,0.15832125544808995,0.32036627398528733,0.0006790472760944493,0.679160450640465,0.0,0.0023547505888473225,0.999991027643783,0.9942795299938156,0.9725274725274725,0.0,0.9956050347676048,1.0044430214183715,0.000330317718479467,0.014623387687383194,10,14,False
S08_s2_shape_a100_c50,S08_s2_shape,dt|wS2CDF_max|wS2FWHM_max|tDiffBottomTopS2_max,4,100.0,0.005,0.04178090146749322,0.04244126945540386,-0.01580549879768456,0.06774135758272384,0.06793659029221844,-0.0028820312503508028,0.1312197664911172,0.1311929782960274,0.000204147559518697,12,0.15819040546589969,0.3056021400277792,0.009053963681259323,0.6928339935181851,0.0,0.0021423087599232783,0.9999914071541006,1.028486394557823,1.028486394557823,0.0,0.9956085715922309,1.0044358853577036,0.00038562435677858,0.017474963946873256,10,14,False
S17_geometry_shape_a100_c50,S17_geometry_shape,dt|wS2CDF_max|xS2T_max|yS2T_max|xS2B_max|yS2B_max|wS2FWHM_max|tDiffBottomTopS2_max,8,100.0,0.005,0.04178090146749322,0.04244439366613895,-0.01588027484667731,0.06774135758272384,0.06792656928308573,-0.0027341008059325045,0.1312197664911172,0.13118060554898078,0.0002984378282601119,12,0.15844199018068306,0.2550851381243891,0.010432635423632902,0.7437522506301765,0.0,0.0029446376550504865,0.9999923697882787,1.060197663971249,0.9915966386554622,0.0,0.995642564517581,1.0044424893674977,0.0007700037863342946,0.013521882741535929,10,14,False
S02_top_xy_a100_c50,S02_top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,100.0,0.005,0.04178090146749322,0.042450628719780004,-0.01602950699395156,0.06774135758272384,0.0678561539582426,-0.0016946276191551757,0.1312197664911172,0.1311946421877039,0.00019146736871367143,12,0.1584739178380623,0.2693245537321879,0.0006893358711867895,0.7303153454395802,0.0,0.003067817374255205,0.9999920213437524,1.0982683982683983,1.0982683982683983,0.0,0.9956327568833072,1.004441315704143,0.00043576631304320657,0.017547481420313815,10,14,False
S10_corrected_position_a100_c50,S10_corrected_position,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,100.0,0.005,0.04178090146749322,0.04246455502714459,-0.016362824535590237,0.06774135758272384,0.0678469238701972,-0.0015583727761057098,0.1312197664911172,0.13118730911081306,0.0002473513036340691,12,0.15851468337655295,0.26267812130253615,0.005247183497093472,0.7364061937342455,0.0,0.0025480643549419413,0.9999923873118461,1.0278745644599303,0.9851576994434138,0.0,0.9956485753174293,1.0044373412477483,0.00030078644953057676,0.012592898431048716,10,14,False
S01_M06_reference_a300_c75,S01_M06_reference,dt|wS2CDF_max,2,300.0,0.0075,0.04178090146749322,0.042465524452569944,-0.016386027132740955,0.06774135758272384,0.06818946456806577,-0.006614969072544996,0.1312197664911172,0.13085034165645779,0.002815313916020523,12,0.1583478233147675,0.4861978496836257,0.0006790472760944493,0.5130099284942641,0.0,0.0039248167999095295,0.9999717890280815,1.0535714285714286,1.0535714285714286,0.0,0.9933785599405343,1.0067109225110493,0.0004849677055489554,0.014294241241163352,10,14,False
S10_corrected_position_a1000_c50,S10_corrected_position,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,1000.0,0.005,0.04178090146749322,0.0424679222710847,-0.016443417433824603,0.06774135758272384,0.06792224582692642,-0.00267027781339757,0.1312197664911172,0.1310122217412113,0.001581657668320413,12,0.1582171329446065,0.3777766346005453,0.005247183497093472,0.6206697875405114,0.0,0.0030098136777428593,0.9999896056290578,1.0535714285714286,0.9619565217391305,0.0,0.995607406001179,1.0044681786384826,0.00023447879451032883,0.014450867052023142,10,14,False
