scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
event_random5,A3_s2_lifetime_r2,dt_us,0.999810899422759,3,458.34200000000004,553.3672,501.149,900,1.0212206703923903,1.0214138203354177
event_random5,A3_s2_lifetime_r2,dt_us,0.999810899422759,4,553.3672,842.3,635.726,900,1.0637589649746648,1.0639601604551683
event_random5,A3_s2_lifetime_r2,r2,0.999810899422759,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0137295746577712,1.0139213077623461
event_random5,A3_s2_lifetime_r2,r2,0.999810899422759,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9752597054948445,0.9754441625490489
event_random5,A3_s2_lifetime_r2,r2,0.999810899422759,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9968008846034483,0.9969894158774939
event_random5,A3_s2_lifetime_r2,r2,0.999810899422759,3,131626.35543508327,137797.2000092193,134381.02785862517,900,1.0072457620647708,1.007436268844743
event_random5,A3_s2_lifetime_r2,r2,0.999810899422759,4,137797.2000092193,211200.55667431746,142702.498946345,900,1.0086957150643925,1.0088864960831725
event_random5,A4_both,dt_us,1.000053834154885,0,10.112,292.3052,214.621,900,0.9852561288764174,0.9852030913006071
event_random5,A4_both,dt_us,1.000053834154885,1,292.3052,380.4608,339.883,900,0.9972510498912227,0.9971973666137375
event_random5,A4_both,dt_us,1.000053834154885,2,380.4608,458.34200000000004,417.798,900,1.0002259135436056,1.0001720701254708
event_random5,A4_both,dt_us,1.000053834154885,3,458.34200000000004,553.3672,501.149,900,1.005228396190401,1.0051742834823376
event_random5,A4_both,dt_us,1.000053834154885,4,553.3672,842.3,635.726,900,1.0090441949509983,1.0089898768336913
event_random5,A4_both,r2,1.000053834154885,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0221688100649624,1.0221137854331273
event_random5,A4_both,r2,1.000053834154885,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9973733983363797,0.9973197084727239
event_random5,A4_both,r2,1.000053834154885,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.0022908998150835,1.0022369452361422
event_random5,A4_both,r2,1.000053834154885,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9992653787149011,0.9992115870035634
event_random5,A4_both,r2,1.000053834154885,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9698662857086757,0.969814076587467
