scheme,candidate,outer_fold,inner_validation_fold,alpha,train_scale,validation_r68,validation_r90,validation_tail_beyond_2r68
event_random5,A1_s2_lifetime,0,1,0.55,0.9964655647229763,0.09884347389354181,0.1711777149251616,0.07
event_random5,A1_s2_lifetime,0,1,0.6,0.9960107066988587,0.10199861601561522,0.18059498085539372,0.07333333333333333
event_random5,A1_s2_lifetime,0,1,0.65,0.988990471832793,0.10809779749677995,0.18892593905162874,0.07444444444444444
event_random5,A1_s2_lifetime,0,1,0.7000000000000001,0.9875344770588927,0.11829814710309661,0.19771536013523466,0.06444444444444444
event_random5,A1_s2_lifetime,0,1,0.75,0.9956937265524892,0.1269399800982492,0.21028869731123884,0.06
event_random5,A1_s2_lifetime,0,1,0.8,0.996872631423397,0.1340484162155735,0.22250127192378133,0.06222222222222222
event_random5,A1_s2_lifetime,0,1,0.85,0.9902749346643835,0.144230626939233,0.23425452587095053,0.06
event_random5,A1_s2_lifetime,0,1,0.9,0.9892780663481866,0.15360273458663004,0.25182487193218833,0.058888888888888886
event_random5,A1_s2_lifetime,1,2,0.1,1.0075447491237712,0.10983548817300348,0.20656619386312652,0.08555555555555555
event_random5,A1_s2_lifetime,1,2,0.15000000000000002,1.0126765299690423,0.10517893895491592,0.1953845030982418,0.08333333333333333
event_random5,A1_s2_lifetime,1,2,0.2,1.011527026429333,0.10057215939123276,0.18784599257024442,0.07888888888888888
event_random5,A1_s2_lifetime,1,2,0.25,1.0152642712324615,0.09732994984657717,0.18273060385804207,0.07222222222222222
event_random5,A1_s2_lifetime,1,2,0.30000000000000004,1.0172505248935677,0.09359143538900805,0.17468119600050197,0.07555555555555556
event_random5,A1_s2_lifetime,1,2,0.35,1.0174430629413829,0.09416483283543764,0.17535216064876336,0.07111111111111111
event_random5,A1_s2_lifetime,1,2,0.4,1.011810838789629,0.09788148750564218,0.17227432989923652,0.056666666666666664
event_random5,A1_s2_lifetime,1,2,0.45000000000000007,1.0081629708707052,0.09914203686397333,0.17322175030630538,0.06222222222222222
event_random5,A1_s2_lifetime,1,2,0.5,1.007163391963026,0.10190513255702127,0.17559270633566004,0.056666666666666664
event_random5,A1_s2_lifetime,1,2,0.55,1.0021648279056767,0.10634313825597314,0.17809566800925136,0.056666666666666664
event_random5,A1_s2_lifetime,1,2,0.6,1.0063774130392016,0.11092530047749477,0.18648882227459063,0.06222222222222222
event_random5,A1_s2_lifetime,1,2,0.65,1.0029155436817705,0.11656961785610054,0.19641254761402233,0.06333333333333334
event_random5,A1_s2_lifetime,1,2,0.7000000000000001,0.9948502566732031,0.12397566526392845,0.20648603968821094,0.058888888888888886
event_random5,A1_s2_lifetime,1,2,0.75,1.0062896330953255,0.13508732971401738,0.21733253319527868,0.052222222222222225
event_random5,A1_s2_lifetime,1,2,0.8,1.0082595135593055,0.14503479125776858,0.23019685326923323,0.04777777777777778
event_random5,A1_s2_lifetime,1,2,0.85,1.005414557326905,0.1515163041273569,0.2436296943794644,0.04666666666666667
event_random5,A1_s2_lifetime,1,2,0.9,1.0029978025916413,0.16070138449014576,0.2596126665132021,0.044444444444444446
event_random5,A1_s2_lifetime,2,3,0.1,1.009079129156655,0.11240733878804854,0.194590671946333,0.07666666666666666
event_random5,A1_s2_lifetime,2,3,0.15000000000000002,1.0115235263368638,0.10688044693628573,0.18862711675005384,0.07222222222222222
event_random5,A1_s2_lifetime,2,3,0.2,1.011845574859568,0.10440389019757901,0.1796392269235652,0.06666666666666667
event_random5,A1_s2_lifetime,2,3,0.25,1.0140725796303003,0.09900399463329879,0.17286930293282166,0.06555555555555556
event_random5,A1_s2_lifetime,2,3,0.30000000000000004,1.012136998243382,0.0970328821802155,0.17357582689308065,0.06111111111111111
event_random5,A1_s2_lifetime,2,3,0.35,1.0118680785363465,0.09328416058036693,0.17019000641920834,0.07555555555555556
event_random5,A1_s2_lifetime,2,3,0.4,1.0106410041063296,0.09261869454152377,0.16595004037722144,0.07666666666666666
event_random5,A1_s2_lifetime,2,3,0.45000000000000007,1.0081671909319327,0.09591364262123242,0.16758472706693978,0.06111111111111111
event_random5,A1_s2_lifetime,2,3,0.5,1.0048258493427218,0.0976425605788116,0.16760874843305645,0.06222222222222222
event_random5,A1_s2_lifetime,2,3,0.55,1.0032543046467643,0.09935117405404009,0.17533824433811962,0.06777777777777778
event_random5,A1_s2_lifetime,2,3,0.6,1.0010716551951655,0.10381094529444795,0.18028698567052692,0.06777777777777778
event_random5,A1_s2_lifetime,2,3,0.65,1.0016938313828314,0.10956701560410187,0.18974636944980772,0.06555555555555556
event_random5,A1_s2_lifetime,2,3,0.7000000000000001,0.9999372126548551,0.11761704699182463,0.20007496344645448,0.06333333333333334
event_random5,A1_s2_lifetime,2,3,0.75,0.998548219526252,0.12641549161642168,0.21133400401415908,0.06333333333333334
event_random5,A1_s2_lifetime,2,3,0.8,1.003194252404517,0.13497180834947514,0.2253248780004779,0.058888888888888886
event_random5,A1_s2_lifetime,2,3,0.85,1.0024551879433647,0.14224689477484226,0.23266288592740209,0.056666666666666664
event_random5,A1_s2_lifetime,2,3,0.9,1.0031864777098805,0.14959895521967076,0.2458718858108499,0.057777777777777775
event_random5,A1_s2_lifetime,3,4,0.1,1.006644134572392,0.10757979787624838,0.20447980100213814,0.08888888888888889
event_random5,A1_s2_lifetime,3,4,0.15000000000000002,1.0090246255311552,0.10424911420861532,0.19206828250988028,0.07777777777777778
