scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
file_mod5,A3_s2_lifetime_r2,dt_us,1.0007904710784574,4,553.3672,842.3,635.726,900,1.056532794729918,1.055698295759543
file_mod5,A3_s2_lifetime_r2,r2,1.0007904710784574,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.014066153674737,1.013265196841826
file_mod5,A3_s2_lifetime_r2,r2,1.0007904710784574,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9812039300007923,0.9804289292877074
file_mod5,A3_s2_lifetime_r2,r2,1.0007904710784574,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9979032905857689,0.9971150999373752
file_mod5,A3_s2_lifetime_r2,r2,1.0007904710784574,3,131626.35543508327,137797.2000092193,134381.02785862517,900,1.012014723638722,1.0112153871211116
file_mod5,A3_s2_lifetime_r2,r2,1.0007904710784574,4,137797.2000092193,211200.55667431746,142702.498946345,900,1.0096230875543886,1.0088256400627127
file_mod5,A3_s2_lifetime_r2,fileNumber,1.0007904710784574,0,0.0,208.0,106.0,897,0.9928968014093198,0.9921125651200182
file_mod5,A3_s2_lifetime_r2,fileNumber,1.0007904710784574,1,208.0,397.0,303.0,901,1.0021337971695976,1.0013422650694233
file_mod5,A3_s2_lifetime_r2,fileNumber,1.0007904710784574,2,397.0,590.0,496.0,898,1.0000309789535806,0.9992411077574925
file_mod5,A3_s2_lifetime_r2,fileNumber,1.0007904710784574,3,590.0,799.0,697.0,902,1.0003540089878165,0.999563882647513
file_mod5,A3_s2_lifetime_r2,fileNumber,1.0007904710784574,4,799.0,999.0,902.0,902,1.005863576511323,1.0050690984571415
file_mod5,A4_both,dt_us,0.9997869172682083,0,10.112,292.3052,214.621,900,0.9804199006777001,0.9806288557531577
file_mod5,A4_both,dt_us,0.9997869172682083,1,292.3052,380.4608,339.883,900,0.9983887743085097,0.9986015590566849
file_mod5,A4_both,dt_us,0.9997869172682083,2,380.4608,458.34200000000004,417.798,900,0.9990008263559367,0.9992137415496298
file_mod5,A4_both,dt_us,0.9997869172682083,3,458.34200000000004,553.3672,501.149,900,1.0071485967399127,1.0073632484527997
file_mod5,A4_both,dt_us,0.9997869172682083,4,553.3672,842.3,635.726,900,1.0108856060104687,1.011101054185212
file_mod5,A4_both,r2,0.9997869172682083,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0211213789811182,1.0213390086871748
file_mod5,A4_both,r2,0.9997869172682083,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9960377644978969,0.9962500481797106
file_mod5,A4_both,r2,0.9997869172682083,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.0034325816662666,1.0036464413917514
file_mod5,A4_both,r2,0.9997869172682083,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9988126710917451,0.9990255461842557
file_mod5,A4_both,r2,0.9997869172682083,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9709119849962284,0.9711189136672472
file_mod5,A4_both,fileNumber,0.9997869172682083,0,0.0,208.0,106.0,897,1.0003267209988123,1.000539918777972
file_mod5,A4_both,fileNumber,0.9997869172682083,1,208.0,397.0,303.0,901,0.9997959274704584,1.0000090121225778
file_mod5,A4_both,fileNumber,0.9997869172682083,2,397.0,590.0,496.0,898,1.0001096882686966,1.0003228397920731
file_mod5,A4_both,fileNumber,0.9997869172682083,3,590.0,799.0,697.0,902,0.999429823843009,0.9996428304681412
file_mod5,A4_both,fileNumber,0.9997869172682083,4,799.0,999.0,902.0,902,0.9996362460247471,0.999849296644256
file_mod5,A5_both_file_linear,dt_us,1.0000753725157414,0,10.112,292.3052,214.621,900,0.9814758883536092,0.9814019176221246
file_mod5,A5_both_file_linear,dt_us,1.0000753725157414,1,292.3052,380.4608,339.883,900,0.9999478861140361,0.9998725232065413
file_mod5,A5_both_file_linear,dt_us,1.0000753725157414,2,380.4608,458.34200000000004,417.798,900,0.9990910656601109,0.999015767328462
