scheme,candidate,outer_fold,inner_validation_fold,train_events,test_events,alpha,train_energy_scale,events_total,events_finite,finite_fraction,median,r68,r90,tail_beyond_2r68,outside_20pct,low_tail_20pct,high_tail_20pct
file_mod5,A3_s2_lifetime_r2,4,0,3563,937,0.25,1.0111606093512537,937,937,1.0,0.9922862186288606,0.08946649292465408,0.15899763083196938,0.0672358591248666,0.03735325506937033,0.030949839914621132,0.0064034151547491995
file_mod5,A4_both,0,1,3642,858,0.35,1.0069659982261583,858,858,1.0,0.9990199861017962,0.06295912711639451,0.12681595649464955,0.10139860139860139,0.02564102564102564,0.018648018648018648,0.006993006993006993
file_mod5,A4_both,1,2,3589,911,0.5,1.005539573003344,911,911,1.0,1.0063206604349375,0.07500258108130808,0.13440229438655682,0.07135016465422613,0.029637760702524697,0.005488474204171241,0.024149286498353458
file_mod5,A4_both,2,3,3597,903,0.5,1.0047971965537568,903,903,1.0,0.999670063975043,0.06298673034862612,0.13114553626872827,0.11517165005537099,0.017718715393133997,0.004429678848283499,0.013289036544850499
file_mod5,A4_both,3,4,3609,891,0.55,1.003353866197871,891,891,1.0,0.9953810436036513,0.06991428476493122,0.1397594403233361,0.09427609427609428,0.031425364758698095,0.003367003367003367,0.028058361391694726
file_mod5,A4_both,4,0,3563,937,0.4,1.0058239897755703,937,937,1.0,0.9978442297052553,0.06909004956041481,0.12914268299855947,0.09284951974386339,0.02774813233724653,0.013874066168623266,0.013874066168623266
file_mod5,A5_both_file_linear,0,1,3642,858,0.35,1.0078483073601816,858,858,1.0,0.9987875179576569,0.06319925711910179,0.12749495027004853,0.09906759906759907,0.02564102564102564,0.018648018648018648,0.006993006993006993
file_mod5,A5_both_file_linear,1,2,3589,911,0.5,1.0060437757735163,911,911,1.0,1.0060661764699859,0.07472975332974496,0.13435017071718797,0.07244785949506037,0.029637760702524697,0.005488474204171241,0.024149286498353458
file_mod5,A5_both_file_linear,2,3,3597,903,0.55,1.003501261875506,903,903,1.0,1.0016938627739924,0.06675467292633364,0.13349783364203294,0.10299003322259136,0.024363233665559248,0.0033222591362126247,0.021040974529346623
file_mod5,A5_both_file_linear,3,4,3609,891,0.45000000000000007,1.0040555914485414,891,891,1.0,0.9952352014323174,0.071719936125617,0.13787908305438823,0.08866442199775533,0.030303030303030304,0.014590347923681257,0.015712682379349047
file_mod5,A5_both_file_linear,4,0,3563,937,0.45000000000000007,1.0067405037240214,937,937,1.0,0.9977333686220595,0.06960550840939256,0.13028525365229054,0.08858057630736393,0.026680896478121666,0.0096051227321238,0.017075773745997867
contiguous_file_block,A0_raw,0,1,3631,869,0.55,1.0169241294692433,869,869,1.0,1.00312630026312,0.0816755365222745,0.14524561016755994,0.07825086306098965,0.04027617951668585,0.0023014959723820483,0.0379746835443038
contiguous_file_block,A0_raw,1,0,3561,939,0.55,1.0284871110250746,939,939,1.0,1.0027149008096492,0.07593112790363332,0.1466909693535725,0.08519701810436635,0.038338658146964855,0.002129925452609159,0.0362087326943557
contiguous_file_block,A0_raw,2,1,3572,928,0.55,1.0092932622985793,928,928,1.0,1.007928901929528,0.07904074339186618,0.14469276628750644,0.07866379310344827,0.034482758620689655,0.004310344827586207,0.03017241379310345
contiguous_file_block,A0_raw,3,2,3627,873,0.5,1.0247571732961118,873,873,1.0,1.001305064956447,0.07979323829135221,0.14705847970095914,0.07789232531500573,0.03665521191294387,0.002290950744558992,0.03436426116838488
contiguous_file_block,A0_raw,4,3,3609,891,0.55,1.015811727888587,891,891,1.0,1.0030366464316003,0.07948145190771744,0.1491964449368911,0.07968574635241302,0.038159371492704826,0.002244668911335578,0.03591470258136925
contiguous_file_block,A1_s2_lifetime,0,1,3631,869,0.4,1.017778291646437,869,869,1.0,0.9902199475988485,0.0911176626661544,0.16525243026300707,0.05868814729574223,0.03682393555811277,0.011507479861910242,0.02531645569620253
contiguous_file_block,A1_s2_lifetime,1,0,3561,939,0.30000000000000004,1.018278394105397,939,939,1.0,0.99305192363251,0.09413648696450344,0.16755743249308463,0.07135250266240682,0.05005324813631523,0.03514376996805112,0.014909478168264111
contiguous_file_block,A1_s2_lifetime,2,1,3572,928,0.4,1.0172719568343478,928,928,1.0,0.9936554609247796,0.09604196656579733,0.16331313626501215,0.05818965517241379,0.04849137931034483,0.018318965517241378,0.03017241379310345
contiguous_file_block,A1_s2_lifetime,3,2,3627,873,0.30000000000000004,1.0180027273425154,873,873,1.0,0.9895385088784484,0.0942066992525426,0.17371232400454323,0.07789232531500573,0.0572737686139748,0.03665521191294387,0.020618556701030927
contiguous_file_block,A1_s2_lifetime,4,3,3609,891,0.35,1.0118047464209212,891,891,1.0,1.0043662733934327,0.09335969230819485,0.1706162911976249,0.08080808080808081,0.06734006734006734,0.04264870931537598,0.024691358024691357
contiguous_file_block,A2_s1_dt_r2,0,1,3631,869,0.75,1.0095791959387475,869,869,1.0,1.0155392062132165,0.09833474276626097,0.17387091441790486,0.06789413118527042,0.0667433831990794,0.0023014959723820483,0.06444188722669736
contiguous_file_block,A2_s1_dt_r2,1,0,3561,939,0.75,1.0127950600804931,939,939,1.0,1.0059581598247842,0.0922974134654937,0.1849475825489762,0.08519701810436635,0.0724174653887114,0.003194888178913738,0.06922257720979766
contiguous_file_block,A2_s1_dt_r2,2,1,3572,928,0.7000000000000001,1.0043828256439427,928,928,1.0,1.0074136669196143,0.09219575992707035,0.1707338387199901,0.06788793103448276,0.05818965517241379,0.0021551724137931034,0.05603448275862069
contiguous_file_block,A2_s1_dt_r2,3,2,3627,873,0.75,1.0154931337996747,873,873,1.0,1.0041180310159836,0.08997163500656752,0.1710252654387518,0.07674684994272624,0.061855670103092786,0.001145475372279496,0.06071019473081329
contiguous_file_block,A2_s1_dt_r2,4,3,3609,891,0.75,1.010397456852299,891,891,1.0,1.0027327737680076,0.08667456745833663,0.17369297568674547,0.08641975308641975,0.06509539842873176,0.0,0.06509539842873176
contiguous_file_block,A3_s2_lifetime_r2,0,1,3631,869,0.2,1.008166117641492,869,869,1.0,0.9910770047766128,0.08272659848546277,0.1471996121344732,0.07249712313003452,0.0379746835443038,0.03222094361334868,0.005753739930955121
contiguous_file_block,A3_s2_lifetime_r2,1,0,3561,939,0.25,1.01195304175321,939,939,1.0,0.9920445582529275,0.08571534983431722,0.15564312810097208,0.0724174653887114,0.03727369542066028,0.03514376996805112,0.002129925452609159
contiguous_file_block,A3_s2_lifetime_r2,2,1,3572,928,0.25,1.009142769014801,928,928,1.0,0.9928370873401084,0.08654168658734185,0.15336933901368072,0.07435344827586207,0.04310344827586207,0.03125,0.011853448275862068
contiguous_file_block,A3_s2_lifetime_r2,3,2,3627,873,0.2,1.0067191344239201,873,873,1.0,0.994691367113892,0.08501520727824263,0.15910766837892104,0.07903780068728522,0.041237113402061855,0.035509736540664374,0.0057273768613974796
contiguous_file_block,A3_s2_lifetime_r2,4,3,3609,891,0.25,1.011336230334364,891,891,1.0,0.9977967959671985,0.08648611909367554,0.1616040408693935,0.08080808080808081,0.050505050505050504,0.04152637485970819,0.008978675645342313
contiguous_file_block,A4_both,0,1,3631,869,0.45000000000000007,1.0067020912614546,869,869,1.0,1.003040920899161,0.06994541160246259,0.13047020922342478,0.07940161104718067,0.02531645569620253,0.010356731875719217,0.014959723820483314
contiguous_file_block,A4_both,1,0,3561,939,0.4,1.0055561712077328,939,939,1.0,0.9978520505949395,0.06800712930588226,0.13147413560509608,0.09158679446219382,0.026624068157614485,0.01597444089456869,0.010649627263045794
contiguous_file_block,A4_both,2,1,3572,928,0.45000000000000007,1.0050472652089963,928,928,1.0,0.9997737542120619,0.06735558099195094,0.13563001821944387,0.10129310344827586,0.02478448275862069,0.008620689655172414,0.016163793103448277
contiguous_file_block,A4_both,3,2,3627,873,0.4,1.005062452752903,873,873,1.0,0.9987421914286155,0.06657914265187231,0.1311040814519942,0.10080183276059565,0.014891179839633447,0.011454753722794959,0.003436426116838488
contiguous_file_block,A4_both,4,3,3609,891,0.45000000000000007,1.0064343379446783,891,891,1.0,0.9975109031728505,0.06685290109927688,0.13354043947234906,0.10101010101010101,0.024691358024691357,0.008978675645342313,0.015712682379349047
contiguous_file_block,A5_both_file_linear,0,1,3631,869,0.45000000000000007,1.006413745510652,869,869,1.0,1.0086688605748386,0.06992754943797808,0.13015276337423431,0.0805523590333717,0.02531645569620253,0.010356731875719217,0.014959723820483314
contiguous_file_block,A5_both_file_linear,1,0,3561,939,0.4,1.0045815170009598,939,939,1.0,0.9984388942104038,0.06793334003571411,0.13146519954552732,0.09158679446219382,0.026624068157614485,0.01597444089456869,0.010649627263045794
contiguous_file_block,A5_both_file_linear,2,1,3572,928,0.45000000000000007,1.006029714283091,928,928,1.0,0.9997799463793693,0.06737413992479574,0.13555590784991206,0.10129310344827586,0.02478448275862069,0.008620689655172414,0.016163793103448277
contiguous_file_block,A5_both_file_linear,3,2,3627,873,0.4,1.0051229061361757,873,873,1.0,0.9990255461018686,0.06655759451752596,0.13111097891923112,0.09965635738831616,0.014891179839633447,0.011454753722794959,0.003436426116838488
contiguous_file_block,A5_both_file_linear,4,3,3609,891,0.45000000000000007,1.0065723770462849,891,891,1.0,1.0004430413161625,0.06679148935993218,0.13371850162859833,0.10101010101010101,0.02356902356902357,0.008978675645342313,0.014590347923681257
