scheme,candidate,outer_fold,inner_validation_fold,alpha,train_scale,validation_r68,validation_r90,validation_tail_beyond_2r68
file_mod5,A1_s2_lifetime,1,2,0.75,1.0074441555226714,0.12107207480895904,0.22371716824380428,0.08084163898117387
file_mod5,A1_s2_lifetime,1,2,0.8,1.0079103254746098,0.13011443102150388,0.2359121621401598,0.07862679955703211
file_mod5,A1_s2_lifetime,1,2,0.85,1.0049429248763366,0.141754109047333,0.25045994854381043,0.06866002214839424
file_mod5,A1_s2_lifetime,1,2,0.9,1.001576269524294,0.1531332910550252,0.2665946598770573,0.0664451827242525
file_mod5,A1_s2_lifetime,2,3,0.1,1.0166253423885963,0.11264902654885456,0.20627494333246577,0.08529741863075196
file_mod5,A1_s2_lifetime,2,3,0.15000000000000002,1.0147247155728654,0.10739865954974931,0.19416040288779035,0.08305274971941638
file_mod5,A1_s2_lifetime,2,3,0.2,1.016595289076474,0.10162633134887378,0.1829814617444221,0.0819304152637486
file_mod5,A1_s2_lifetime,2,3,0.25,1.0171896817784436,0.09915263624607706,0.17574206371085432,0.0718294051627385
file_mod5,A1_s2_lifetime,2,3,0.30000000000000004,1.0197156181104496,0.09646235827676503,0.17150067356188914,0.06621773288439955
file_mod5,A1_s2_lifetime,2,3,0.35,1.0217476175905493,0.09518700470030933,0.16934496539716748,0.06509539842873176
file_mod5,A1_s2_lifetime,2,3,0.4,1.021230248935052,0.09478503590516962,0.1679533764174173,0.06397306397306397
file_mod5,A1_s2_lifetime,2,3,0.45000000000000007,1.010559469136504,0.09460595850757314,0.16514975292811418,0.06397306397306397
file_mod5,A1_s2_lifetime,2,3,0.5,1.0077933163150938,0.09471574847227754,0.1685119503431997,0.06621773288439955
file_mod5,A1_s2_lifetime,2,3,0.55,1.010097169344524,0.09577647052338173,0.17286219428718524,0.07295173961840629
file_mod5,A1_s2_lifetime,2,3,0.6,1.0102006904962715,0.10077661147278999,0.17624308041073555,0.0718294051627385
file_mod5,A1_s2_lifetime,2,3,0.65,1.0078174499052555,0.10716354518705007,0.18608729449669592,0.06958473625140292
file_mod5,A1_s2_lifetime,2,3,0.7000000000000001,1.005139043522687,0.11544727931845733,0.1959490053542341,0.06621773288439955
file_mod5,A1_s2_lifetime,2,3,0.75,1.0023253683480888,0.1251528921166155,0.20956148275578734,0.06285072951739619
file_mod5,A1_s2_lifetime,2,3,0.8,1.004334630775269,0.13482227773449662,0.2283255333024038,0.06172839506172839
file_mod5,A1_s2_lifetime,2,3,0.85,1.0007547832899164,0.1454040626204367,0.2426174614341604,0.05948372615039282
file_mod5,A1_s2_lifetime,2,3,0.9,1.000847688488544,0.15782448785242842,0.26413949677559717,0.05723905723905724
file_mod5,A1_s2_lifetime,3,4,0.1,1.009107682108386,0.1098203953784323,0.20477765862507152,0.08004268943436499
file_mod5,A1_s2_lifetime,3,4,0.15000000000000002,1.0112184777233661,0.10413920492671214,0.1913013889857128,0.08110992529348986
file_mod5,A1_s2_lifetime,3,4,0.2,1.0138873322451176,0.09942183874603933,0.17931601665673652,0.08004268943436499
file_mod5,A1_s2_lifetime,3,4,0.25,1.0178724367325191,0.09501023506297479,0.17449451555092405,0.08004268943436499
file_mod5,A1_s2_lifetime,3,4,0.30000000000000004,1.0187787523136413,0.09295776551588963,0.1715652562178735,0.07790821771611527
file_mod5,A1_s2_lifetime,3,4,0.35,1.019504388276861,0.09377988501254259,0.17169712908032747,0.06616862326574173
file_mod5,A1_s2_lifetime,3,4,0.4,1.0115574069065572,0.09472599263928488,0.1673228157711536,0.06616862326574173
file_mod5,A1_s2_lifetime,3,4,0.45000000000000007,1.0073109755241152,0.09612425106220557,0.16772038673530032,0.064034151547492
file_mod5,A1_s2_lifetime,3,4,0.5,1.0061507804205356,0.09696187952874402,0.1771041026953401,0.07043756670224119
file_mod5,A1_s2_lifetime,3,4,0.55,1.0037761047926654,0.10142849335259746,0.18348837892726305,0.0672358591248666
file_mod5,A1_s2_lifetime,3,4,0.6,1.0072556941568689,0.10615119868017958,0.19288802813556216,0.06937033084311633
file_mod5,A1_s2_lifetime,3,4,0.65,1.0053986564638824,0.11172630500995812,0.19901249349676836,0.06830309498399147
file_mod5,A1_s2_lifetime,3,4,0.7000000000000001,1.0040746212630949,0.12093390847240348,0.212458073576402,0.05976520811099253
file_mod5,A1_s2_lifetime,3,4,0.75,1.0076096302014341,0.12845901312549102,0.2228681392468878,0.060832443970117396
file_mod5,A1_s2_lifetime,3,4,0.8,1.0035864644180987,0.1348967103303086,0.23371299058945721,0.064034151547492
file_mod5,A1_s2_lifetime,3,4,0.85,1.0037370725892338,0.14338915107267086,0.24551224018808004,0.061899679829242264
file_mod5,A1_s2_lifetime,3,4,0.9,1.0013914428420465,0.1540667530997018,0.25721701086737125,0.05869797225186766
file_mod5,A1_s2_lifetime,4,0,0.1,1.008051593261515,0.10522041216956407,0.19632135058428074,0.07692307692307693
file_mod5,A1_s2_lifetime,4,0,0.15000000000000002,1.0159651199527449,0.09996029269606788,0.1834805066365081,0.07459207459207459
file_mod5,A1_s2_lifetime,4,0,0.2,1.016794552342231,0.09524883028625314,0.1747766593489124,0.07226107226107226
file_mod5,A1_s2_lifetime,4,0,0.25,1.0178073707802278,0.09048447461430054,0.16613200651759563,0.07342657342657342
file_mod5,A1_s2_lifetime,4,0,0.30000000000000004,1.016581910764894,0.08817318799829937,0.16264694645093886,0.08041958041958042
file_mod5,A1_s2_lifetime,4,0,0.35,1.0133985572383257,0.08655147324850548,0.15996126575682545,0.07925407925407925
file_mod5,A1_s2_lifetime,4,0,0.4,1.011994924148201,0.08754256843642155,0.15604277075100226,0.07342657342657342
file_mod5,A1_s2_lifetime,4,0,0.45000000000000007,1.0095494869071127,0.08847060171764398,0.15501249272495,0.0675990675990676
file_mod5,A1_s2_lifetime,4,0,0.5,1.00616875392521,0.093449073014573,0.15793348235207755,0.05827505827505827
file_mod5,A1_s2_lifetime,4,0,0.55,1.004667603962988,0.09858048349397236,0.16491561812599148,0.053613053613053616
file_mod5,A1_s2_lifetime,4,0,0.6,1.0090771398848826,0.10500259774013793,0.16867378710322273,0.05128205128205128
file_mod5,A1_s2_lifetime,4,0,0.65,1.0026613268798066,0.11012275451625225,0.17901407251374812,0.05710955710955711
file_mod5,A1_s2_lifetime,4,0,0.7000000000000001,1.0035946273305982,0.11777771689013816,0.192713813506177,0.05710955710955711
file_mod5,A1_s2_lifetime,4,0,0.75,1.0090250214944558,0.12570241899756646,0.20403562371037698,0.053613053613053616
