name,feature_set,feature_count,alpha,cap,calibration_base_r68,calibration_oof_r68,calibration_oof_r90,relative_r68_improvement,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,safe
drift_only_a100_c25,drift_only,1,100.0,0.0025,0.06774135758272384,0.06772903532781277,0.13123704584135285,0.00018190150523667015,0.04178090146749322,0.04187316330500445,-0.0022082299392944815,12,0.15743374480307615,0.16841401306651577,0.016307423221359123,0.8313184834610834,0.0,0.0009217940951395172,0.9999987670660183,1.1238095238095238,0.0,0.9978475030260567,1.002174842889335,0.0,False
geometry_ratio_a100_c75,geometry_ratio,11,100.0,0.0075,0.06774135758272384,0.06783327566469408,0.13169682179739794,-0.001356897547528213,0.04178090146749322,0.04191547527585362,-0.0032209407560317427,12,0.1569141379160751,0.02482637995781676,0.404599002006276,0.962127681465096,0.0,0.005576366644025512,0.9999976545761147,0.9688013136288999,0.0,0.9988585319881994,1.0032622695576519,0.0,False
geometry_a1000_c100,geometry,7,1000.0,0.01,0.06774135758272384,0.06773031724775229,0.13130837669729775,0.0001629777637401908,0.04178090146749322,0.04198216912224044,-0.0048172166630682245,12,0.15725395047346524,0.5280827203045424,0.0638715983332476,0.45513658109985083,0.0,0.006770348738898996,0.9999453704878756,1.2110016420361247,0.0,0.9912007384464033,1.0089968338508293,0.0,False
geometry_ratio_a1000_c25,geometry_ratio,11,1000.0,0.0025,0.06774135758272384,0.06771068392295386,0.13118543412470135,0.00045280550707194056,0.04178090146749322,0.04198729308582951,-0.0049398555580919545,12,0.1572851316030055,0.017017336282730593,0.404599002006276,0.9816245691650806,0.0,0.0018489592935494361,0.9999998360254431,1.0195852534562213,0.0,1.0,1.0,0.0,False
geometry_ratio_a100_c100,geometry_ratio,11,100.0,0.01,0.06774135758272384,0.06782174628833501,0.13168076246683555,-0.0011867005398142894,0.04178090146749322,0.04202151218262712,-0.005758868446653853,12,0.15719178395550115,0.03405524975564587,0.404599002006276,0.9494932866917023,0.0,0.007514779561343549,0.9999944077897239,1.0,0.0,0.9958793270836168,1.006759909247187,0.0,False
geometry_a100_c100,geometry,7,100.0,0.01,0.06774135758272384,0.06757466317144785,0.13069841145080233,0.0024607480160466766,0.04178090146749322,0.04208204879729251,-0.007207774825863655,12,0.157881787135275,0.3745151499562735,0.0638715983332476,0.6168012757857915,0.0,0.00474735810087715,0.9999559415335691,1.0886904761904763,0.0,0.9912085282626293,1.0089454108179177,0.0,False
geometry_a1000_c50,geometry,7,1000.0,0.005,0.06774135758272384,0.06811851798692928,0.13149253941752373,-0.0055676534640578534,0.04178090146749322,0.04208479486337822,-0.007273500216873785,12,0.15779585166406762,0.28407839909460364,0.0638715983332476,0.7085446782241885,0.0,0.0020493518722217523,0.9999913630971721,1.0422427035330262,0.0,0.9956358376552472,1.0044494253159992,0.0,False
geometry_ratio_a10_c100,geometry_ratio,11,10.0,0.01,0.06774135758272384,0.06764360880198747,0.13101525082366688,0.0014429705016909544,0.04178090146749322,0.04208565348714633,-0.007294050844982802,12,0.15683721313935461,0.03404496116055353,0.404599002006276,0.9583517670662071,0.0,0.008071699934532401,0.9999940495788706,1.0350877192982455,0.0,0.9964236628122786,1.0066687422789238,0.0,False
geometry_ratio_a1000_c50,geometry_ratio,11,1000.0,0.005,0.06774135758272384,0.06773411130595176,0.13114719768970795,0.00010696976013846449,0.04178090146749322,0.04212245866201169,-0.008174959910432156,12,0.15734677954614917,0.03336591388445908,0.404599002006276,0.9637841452749627,0.0,0.0040157999354162015,0.9999986918309882,1.0362997658079627,0.0,0.9978290005927687,1.0030329674293663,0.0,False
geometry_a1000_c75,geometry,7,1000.0,0.0075,0.06774135758272384,0.06756943176463821,0.13099719931815548,0.002537974203951854,0.04178090146749322,0.04216067928192338,-0.009089746776422158,12,0.15745866309604606,0.4132105560985647,0.0638715983332476,0.5751324656618139,0.0,0.0037819566588745057,0.9999736044747266,1.009672619047619,0.0,0.9934050939324637,1.0067245927031145,0.0,False
