model_id,feature_set,features,feature_count,alpha,cap,dev_base_sigma,dev_new_sigma,dev_sigma_gain,dev_base_r68,dev_new_r68,dev_r68_gain,dev_base_r90,dev_new_r90,dev_r90_gain,dev_protocol_successes,dev_center_bias_max,hold_base_sigma,hold_new_sigma,hold_sigma_gain,hold_base_r68,hold_new_r68,hold_r68_gain,hold_base_r90,hold_new_r90,hold_r90_gain,hold_protocol_successes,hold_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
A05_plus_qS2hitStdevTo1_max_a3000_c75,A05_plus_qS2hitStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2hitStdevTo1_max,5,3000.0,0.0075,0.04237804561569755,0.04287902429474383,-0.011821656043069284,0.06841353944679428,0.06842288042413187,-0.00013653696933579873,0.13139431589248823,0.13128142161582088,0.0008592021344342449,12,0.1571318753656754,0.04199252184928828,0.0440610851112545,-0.04926027708910441,0.06542480619034491,0.06492503432580678,0.007638874207500312,0.13005254847924436,0.12994384879334575,0.0008358135782010612,12,0.15702032460471904,0.6630896651062298,0.02851998559596687,0.31899789083800606,0.0,0.004374930923073474,0.9999681784943852,1.2380952380952381,1.2380952380952381,0.0,0.00016378628398228123,0.0124543194249499,10,13,False
A07_plus_wS2FWHM_max_a3000_c75,A07_plus_wS2FWHM_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|wS2FWHM_max,5,3000.0,0.0075,0.04237804561569755,0.042888327200630065,-0.01204117786742609,0.06841353944679428,0.06850165411191893,-0.0012879711506985636,0.13139431589248823,0.13136963625541695,0.0001878288029710795,12,0.15715131189682008,0.04199252184928828,0.04407390936871396,-0.04956567092816666,0.06542480619034491,0.06485629756627516,0.008689496494888371,0.13005254847924436,0.12979318047219499,0.0019943323685869263,12,0.1578611782260292,0.6860332321621483,0.013313442049488143,0.3057564689541643,0.0,0.004509348986704383,0.9999676773783757,1.2553191489361701,0.9657738095238095,0.0,0.0002779040256930543,0.012456865579812959,10,13,False
G05_plus_top5_a1000_c50,G05_plus_top5,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|xS2T_max|yS2B_max|qS1channelStdevTo1_max|qS2hitStdevTo1_max,9,1000.0,0.005,0.04237804561569755,0.042929282408991395,-0.01300760300021131,0.06841353944679428,0.06841107336170256,3.604674033330646e-05,0.13139431589248823,0.13130586255246246,0.0006731900038823291,12,0.15644588099707102,0.04199252184928828,0.04286175875883973,-0.02069980251891379,0.06542480619034491,0.06538872109298893,0.0005515506954807403,0.13005254847924436,0.13000238362627745,0.0003857275659224779,12,0.15523886732992265,0.061001080302484696,0.13216729255620144,0.933936930912084,0.0,0.004474519253042504,0.999997201729668,0.9365079365079365,0.9365079365079365,0.0,0.000870769932583837,0.008257638315441788,10,13,False
P06_plus_pair_a1000_c50,P06_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|qS1channelStdevTo1_max,6,1000.0,0.005,0.04237804561569755,0.04298408116214138,-0.014300695976865452,0.06841353944679428,0.06886238442690285,-0.006560762441733203,0.13139431589248823,0.1312292438159151,0.00125631063605669,12,0.15659745166960004,0.04199252184928828,0.042824607076545035,-0.019815081129042733,0.06542480619034491,0.06564929907896595,-0.003431311480968091,0.13005254847924436,0.13002232187296942,0.0002324184080081393,12,0.15802872521497713,0.11957405216317712,0.018365142239827152,0.8792942023766654,0.0,0.004402072931738355,0.9999949491279052,0.997584541062802,0.997584541062802,0.0,0.0005101284253934413,0.009599504541701082,10,13,False
A03_plus_yS2B_max_a1000_c50,A03_plus_yS2B_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|yS2B_max,5,1000.0,0.005,0.04237804561569755,0.04302270549724345,-0.015212119204173646,0.06841353944679428,0.06862723774932543,-0.0031236258825249053,0.13139431589248823,0.13083732633981088,0.004239068858451267,12,0.15804875135018792,0.04199252184928828,0.04331235797290662,-0.03143026580673691,0.06542480619034491,0.06473234861904682,0.010584021743732408,0.13005254847924436,0.13085480095017318,-0.006168679355459616,12,0.15607361308752377,0.3873450280364216,0.005699881681156438,0.6107104274911261,0.0,0.0026235858201778426,0.999989419410594,1.2709750566893425,1.0063965884861408,0.0,0.00021966396625439089,0.014037985136251041,10,13,False
P08_plus_pair_a1000_c50,P08_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|yS2B_max|qS1channelStdevTo1_max,6,1000.0,0.005,0.04237804561569755,0.04304646576016603,-0.01577279307616042,0.06841353944679428,0.06873688570067348,-0.0047263488557065525,0.13139431589248823,0.13122482056785625,0.0012899745584935562,12,0.15656929378251372,0.04199252184928828,0.04189573708324247,0.002304809565693011,0.06542480619034491,0.06579736493072305,-0.005694456920426028,0.13005254847924436,0.1301120167071327,-0.00045726307237914376,12,0.15791242161209218,0.11888471629199032,0.019239672822676062,0.8800246926282216,0.0,0.0046011737352234724,0.999994983212466,1.017943409247757,1.017943409247757,0.0,0.0004617162232860572,0.007431107441428428,10,13,False
A04_plus_qS1channelStdevTo1_max_a1000_c50,A04_plus_qS1channelStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS1channelStdevTo1_max,5,1000.0,0.005,0.04237804561569755,0.04307567696625854,-0.016462093530395627,0.06841353944679428,0.0687750551405522,-0.005284271164468501,0.13139431589248823,0.1312347141449143,0.0012146777163825062,12,0.15664584823737204,0.04199252184928828,0.042923191806414844,-0.022162754608231028,0.06542480619034491,0.06559968839661001,-0.0026730259736087447,0.13005254847924436,0.1300503034772718,1.726226820464305e-05,12,0.15730112427872422,0.11939914604660734,0.018365142239827152,0.8794485313030506,0.0,0.004657208291523348,0.9999949643575393,0.997584541062802,0.997584541062802,0.0,0.000373964283013839,0.008760935362268615,10,13,False
A05_plus_qS2hitStdevTo1_max_a10000_c75,A05_plus_qS2hitStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2hitStdevTo1_max,5,10000.0,0.0075,0.04237804561569755,0.04309442992085677,-0.016904609326624076,0.06841353944679428,0.06857025335678071,-0.0022906856048328095,0.13139431589248823,0.1302616270528659,0.00862053150418729,12,0.15717577534342453,0.04199252184928828,0.04175686093288636,0.00561197341868902,0.06542480619034491,0.06520888299365368,0.00330032611885811,0.13005254847924436,0.1306694605542751,-0.004743560062794305,12,0.1554849247671336,0.929975821801533,0.02851998559596687,0.04038273573743505,0.0,0.0028231276431048527,0.999972319980732,1.0216450216450217,0.9047619047619047,0.0018524882295885003,0.00013903222073952115,0.005470685383980212,10,13,False
P10_plus_pair_a300_c75,P10_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS1channelStdevTo1_max|qS2hitStdevTo1_max,6,300.0,0.0075,0.04237804561569755,0.0430994585095984,-0.01702326955902911,0.06841353944679428,0.06799943533225138,0.006052955568319196,0.13139431589248823,0.13127408768257673,0.0009150183483574992,12,0.15687598847798556,0.04199252184928828,0.04425927193929664,-0.053979851416015245,0.06542480619034491,0.06616263010929903,-0.011277433773476009,0.13005254847924436,0.12998255952636234,0.0005381590264891267,12,0.15732899073856477,0.0718967025052729,0.0612582951797932,0.9248521014455476,0.0,0.0068163291362729455,0.9999926088733887,1.0350877192982455,1.0350877192982455,0.0,0.001011344696241645,0.009393063583815031,10,13,False
P05_plus_pair_a1000_c50,P05_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|yS2B_max,6,1000.0,0.005,0.04237804561569755,0.043101506087888194,-0.01707158651796492,0.06841353944679428,0.06861265284675327,-0.002910438512158109,0.13139431589248823,0.1309352263184779,0.0034939835174147005,12,0.15787426053413078,0.04199252184928828,0.04377131215112336,-0.04235969223804115,0.06542480619034491,0.06471324682142136,0.010875987417576116,0.13005254847924436,0.13085318059820744,-0.006156220145819402,12,0.15658457073029064,0.3855753896805391,0.005699881681156438,0.6124183342764545,0.0,0.002548308359982722,0.9999894379139823,1.160455486542443,0.9915966386554622,0.0,0.00027598366945014163,0.013005780346820817,10,13,False
