original_path,bytes,git_blob,archive_url
01_老师盲测交付/PandaX_candidate_v11_blindtest/model/candidate_v11_manifest.json,525,fa0f29e01055d414cf8a3886e92f3d16c4b03a13,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/model/candidate_v11_manifest.json
01_老师盲测交付/PandaX_candidate_v11_blindtest/requirements.txt,76,90e810e81d5f8c47c5646e2bf455dcaf5eb5c68f,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/requirements.txt
01_老师盲测交付/PandaX_candidate_v11_blindtest/run_validation.bat,489,4145a3d3118e2c1ca0ab536ce7405371333a87cb,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/run_validation.bat
01_老师盲测交付/PandaX_candidate_v11_blindtest/run_validation.sh,612,b19a77f4a18a02357fcc78d6cdd5f02b0778b541,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/run_validation.sh
01_老师盲测交付/PandaX_candidate_v12_safe/MODEL_CARD.md,1918,5c3a55f165a72663996d1d8c308a8ab5b5474748,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v12_safe/MODEL_CARD.md
01_老师盲测交付/PandaX_candidate_v12_safe/README_老师使用说明.md,1266,b4c167c23f76f7fd6482ad5c4f05ef5bc79ef30a,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v12_safe/README_%E8%80%81%E5%B8%88%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E.md
01_老师盲测交付/PandaX_candidate_v12_safe/apply_v12_safe.py,4835,2f17d07b3d489f5289872c1f20b8ea1fd9527a23,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v12_safe/apply_v12_safe.py
01_老师盲测交付/PandaX_candidate_v12_safe/model/candidate_v12_safe.json,4345,bc775b10853514475299cca37d4862fb50aad0f4,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v12_safe/model/candidate_v12_safe.json
01_老师盲测交付/PandaX_candidate_v12_safe/requirements.txt,25,15e38a3340ebf059b650e9f5dd1a70ff6257b711,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v12_safe/requirements.txt
01_老师盲测交付/PandaX_candidate_v12_safe/run_validation.sh,433,bc0b53eb59f6c69e449ec35eb972f191bc4c22e3,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v12_safe/run_validation.sh
