outer_fold,s1,s2,alpha,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
1,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06685532008898341,0.050818551744826246,1.2408481281591418e-11,True
1,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06685532008898341,0.050818551744826246,1.2408481281591418e-11,True
1,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06686320798570852,0.050634205629453574,3.0391641205827567e-12,True
1,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06686320798570852,0.050634205629453574,3.0391641205827567e-12,True
1,qS1ub_C,qS2Bdesub_C_stretch,0.5499999999999999,0.06704238884677298,0.049858634549931447,1.8866461858362803e-14,True
1,qS1ub_C,qS2Bub_C_stretch,0.5499999999999999,0.0670426123190312,0.049874554832123746,3.5468100521530656e-14,True
1,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.6,0.0672921658973273,0.04997424193951483,1.2343222210788575e-12,True
1,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.6,0.06729222298832797,0.049987601017481675,1.6456185877852378e-12,True
1,qS1ub_C,qS2Bub_C_stretch,0.44999999999999996,0.06751214579951087,0.05582407926803069,0.026614630751940697,True
1,qS1ub_C,qS2Bdesub_C_stretch,0.44999999999999996,0.06751221283129558,0.05587645320047508,0.034557915099860025,True
1,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.44999999999999996,0.06751716983234171,0.05285786816447014,4.22736895852887e-09,True
1,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.44999999999999996,0.06752301882982471,0.0526185701153294,1.4002156573676543e-08,True
1,qS1_max,qS2Bdesub_C,0.35,0.06764350007188219,0.051452077429597946,0.007930071186669576,True
1,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.6,0.06767040460929308,0.05068782636124778,5.0501913246016e-16,True
2,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.5499999999999999,0.06421256509241034,0.047500084081134375,1.943120875089621e-24,True
