scheme,replicate,raw_r68,winner_r68,delta_r68,ratio_r68,raw_r90,winner_r90,delta_r90,ratio_r90
event_random5,113,0.08072267475913592,0.05920182439546579,-0.021520850363670123,0.7333977048222815,0.15347603350793756,0.11798507544044758,-0.03549095806748999,0.7687524413011726
event_random5,114,0.0802401624173232,0.05769524367861302,-0.022544918738710173,0.7190319902213594,0.14891441810040457,0.11819860262634345,-0.030715815474061117,0.7937351139944611
event_random5,115,0.08076744825289872,0.05959486334960079,-0.02117258490329793,0.7378574492411545,0.15085164763912595,0.11590872815430069,-0.034942919484825266,0.7683623610899015
event_random5,116,0.07771896050608197,0.05647971281758493,-0.02123924768849704,0.7267172958800068,0.1458410774775601,0.11730736496719842,-0.028533712510361672,0.8043506465813651
event_random5,117,0.0807287162967449,0.06115326211848109,-0.019575454178263806,0.7575156019289617,0.15019330168981504,0.12055159674766482,-0.029641704942150224,0.8026429633768395
event_random5,118,0.07807723914700285,0.05706978855444477,-0.021007450592558076,0.7309401456549263,0.15298602069068362,0.1178208398759476,-0.03516518081473602,0.7701412151517092
event_random5,119,0.07738236611614832,0.0586631888428492,-0.018719177273299123,0.7580950517175674,0.15266895983557907,0.11518225014322896,-0.037486709692350115,0.754457554877413
event_random5,120,0.0821847252704757,0.05982529207977273,-0.022359433190702965,0.7279368749227244,0.15180920838493356,0.12123771042283986,-0.0305714979620937,0.7986189488283518
event_random5,121,0.08014457731729467,0.05824892485714102,-0.021895652460153653,0.7267980792578375,0.14727964037277758,0.120550492273896,-0.026729148098881578,0.8185143035980549
event_random5,122,0.08063595677470185,0.05756293427582846,-0.023073022498873393,0.713861862353295,0.15292325252122774,0.11782778788531821,-0.035095464635909526,0.7705027583621541
event_random5,123,0.08091061514950301,0.058844408521657406,-0.022066206627845607,0.7272767412894753,0.15040663721562333,0.1178897849091176,-0.032516852306505736,0.783807065243474
event_random5,124,0.08116053864881115,0.05720994546756036,-0.02395059318125079,0.7048985433070235,0.15012041737471146,0.12014065670884913,-0.02997976066586233,0.8002952483736394
event_random5,125,0.08039256481775106,0.05914754533968545,-0.021245019478065612,0.7357340255752779,0.14898339052382892,0.11903603940972085,-0.029947351114108067,0.7989886590121723
event_random5,126,0.08161449833752571,0.059889879002866464,-0.021724619334659245,0.7338142146654544,0.1490497674649326,0.11914424608112588,-0.029905521383806713,0.7993588189203805
event_random5,127,0.07854376020255965,0.05712701657948491,-0.021416743623074747,0.7273272432101259,0.15041467634576647,0.11925509144758423,-0.03115958489818224,0.7928421238193938
event_random5,128,0.07648346441882783,0.05771862252541113,-0.018764841893416706,0.7546549174255581,0.14578247099920338,0.11648377169237803,-0.029298699306825354,0.7990245390545928
event_random5,129,0.08286048666782014,0.06140156540934702,-0.021458921258473124,0.7410234706380628,0.1552246639176939,0.12008589209003137,-0.035138771827662535,0.7736263623267082
