scheme,outer_fold,method,complexity,alpha,inner_r68,inner_r90,inner_n
event_random5,0,dt_then_xy,9,0.42489062049196813,0.07210951870983638,0.13583606810997506,3600
event_random5,0,dt_then_xy,9,0.6518363448688389,0.06657814776794854,0.1276918728456183,3600
event_random5,0,dt_then_xy,9,0.75,0.0648052103170932,0.1266787877920542,3600
event_random5,0,dt_then_xy,9,1.0,0.06393186327196819,0.1253985958686431,3600
event_random5,0,dt_then_xy,9,1.5,0.06751504321751262,0.1311604195070123,3600
event_random5,0,dt_then_xy,9,1.5341274046343907,0.06814519184420735,0.13129867024001743,3600
event_random5,0,dt_then_xy,9,2.3535468936502513,0.07579098233720556,0.1423947097110567,3600
event_random5,0,dt_then_xy,9,3.6106407876409943,0.08657020308973608,0.1597399678872185,3600
event_random5,0,dt_then_xy,9,5.539182980610754,0.09553441495947193,0.17456422413488287,3600
event_random5,0,dt_then_xy,9,8.49781240983936,0.10187014032839736,0.18636306127867783,3600
event_random5,0,dt_then_xy,9,13.03672689737678,0.10672707638525421,0.19641552700619258,3600
event_random5,0,dt_then_xy,9,20.0,0.11030856542928671,0.2036454485251602,3600
event_random5,0,dt_r2_then_xy,12,0.05,0.07129155490477446,0.1419038997007197,3600
event_random5,0,dt_r2_then_xy,12,0.07670637023171953,0.06966550532804647,0.13828113830240485,3600
event_random5,0,dt_r2_then_xy,12,0.11767734468251262,0.06622869257027794,0.1322484644622425,3600
event_random5,0,dt_r2_then_xy,12,0.1805320393820497,0.06316971168016736,0.12394732936898104,3600
event_random5,0,dt_r2_then_xy,12,0.2769591490305376,0.05939858950243617,0.11806900820998677,3600
event_random5,0,dt_r2_then_xy,12,0.42489062049196813,0.05797209162468541,0.1138229335325748,3600
event_random5,0,dt_r2_then_xy,12,0.6518363448688389,0.057374395173278955,0.11443949727265865,3600
event_random5,0,dt_r2_then_xy,12,0.75,0.057814378224053706,0.11474308586942357,3600
event_random5,0,dt_r2_then_xy,12,1.0,0.0606550370204861,0.11915830105563585,3600
event_random5,0,dt_r2_then_xy,12,1.5,0.0644962117415962,0.1259804382518733,3600
event_random5,0,dt_r2_then_xy,12,1.5341274046343907,0.06501097408456367,0.12673219084415233,3600
event_random5,0,dt_r2_then_xy,12,2.3535468936502513,0.07378903350420428,0.14303523910992308,3600
event_random5,0,dt_r2_then_xy,12,3.6106407876409943,0.08352194025787579,0.16162735021760094,3600
event_random5,0,dt_r2_then_xy,12,5.539182980610754,0.0925864071843548,0.17731124967710327,3600
event_random5,0,dt_r2_then_xy,12,8.49781240983936,0.09939122853997899,0.19001860940087145,3600
event_random5,0,dt_r2_then_xy,12,13.03672689737678,0.10507425212760534,0.19951676866828558,3600
event_random5,0,dt_r2_then_xy,12,20.0,0.1074724533292663,0.20569563060939183,3600
event_random5,1,raw,0,0.05,0.17387961589321352,0.3151393735408192,3600
event_random5,1,raw,0,0.07670637023171953,0.16587530739161896,0.3027098805006339,3600
event_random5,1,raw,0,0.11767734468251262,0.1553025729558034,0.286753965059047,3600
event_random5,1,raw,0,0.1805320393820497,0.14251552973418152,0.2645498285603287,3600
event_random5,1,raw,0,0.2769591490305376,0.12557489137175787,0.23507307069431194,3600
event_random5,1,raw,0,0.42489062049196813,0.10700047017582479,0.19896532612913664,3600
event_random5,1,raw,0,0.6518363448688389,0.09191872822240262,0.16682287554551398,3600
event_random5,1,raw,0,0.75,0.0870838542746715,0.15852008234666712,3600
event_random5,1,raw,0,1.0,0.08100939426514861,0.15097804344901755,3600
event_random5,1,raw,0,1.5,0.0807883681653693,0.14947630480442486,3600
event_random5,1,raw,0,1.5341274046343907,0.08139780904684848,0.15069918504514432,3600
event_random5,1,raw,0,2.3535468936502513,0.0927166662762419,0.1687354466291752,3600
event_random5,1,raw,0,3.6106407876409943,0.11212027999323601,0.19446156855778754,3600
event_random5,1,raw,0,5.539182980610754,0.1303594409958815,0.21817757133569823,3600
event_random5,1,raw,0,8.49781240983936,0.14523605384319932,0.24120969095522052,3600
event_random5,1,raw,0,13.03672689737678,0.15506169460901295,0.25761476682340956,3600
event_random5,1,raw,0,20.0,0.16223793701726386,0.2695529124826158,3600
event_random5,1,dt_quad,3,0.05,0.11733607081416715,0.2195470941190562,3600
event_random5,1,dt_quad,3,0.07670637023171953,0.1135209807438202,0.21250292283259878,3600
