outer_fold,s2,k,sigma_over_mu,fit_p,r68,r90,tail_safe
0,qS2Bub_C_stretch,1.06,0.04416796717486842,4.9447908243818173e-14,0.06717910374981144,0.1286360824117861,False
0,qS2Bub_C_stretch,1.07,0.04468080073268633,7.606317894976331e-17,0.06727728692417417,0.1286074542952378,False
0,qS2Bub_C_stretch,1.08,0.04424918494808191,1.2591534635060236e-21,0.06714354966706879,0.12879664181069547,False
0,qS2Bub_C_stretch,1.09,0.04440661270169404,3.8319399749167984e-20,0.06708901677658724,0.12919158739450848,False
0,qS2Bub_C_stretch,1.1,0.04251446794104544,9.474000039145933e-19,0.06693347812783842,0.1294354064567866,True
0,qS2Bub_C_stretch,1.11,0.04131225952982498,1.7860706521107296e-20,0.06711028272977251,0.12956747223374662,False
0,qS2Bub_C_stretch,1.12,0.04142255889045137,1.2154850348920674e-21,0.06704849510537465,0.12965591240839047,True
0,qS2Bub_C_stretch,1.13,0.04064340067946877,1.7948710608726337e-25,0.0672619367308562,0.12980993277258268,False
0,qS2Bub_C_stretch,1.14,0.040299878067602546,1.5821313212776245e-33,0.06733467296539204,0.12985015366916577,False
0,qS2Bub_C_stretch,1.15,0.039673140918334536,3.270083681406402e-45,0.06733608502196453,0.1300397510549952,False
0,qS2Bub_C_stretch,1.16,0.03961394028146941,1.8208925323256406e-49,0.06732217248088772,0.13019667184588396,False
0,qS2Bub_C_stretch,1.17,0.03967838723035324,9.789618545360722e-57,0.06715306424560775,0.13031568164729496,False
0,qS2Bub_C_stretch,1.18,0.03846111954682301,9.131788375991756e-63,0.06720083751362135,0.13049136209840848,False
0,qS2Bub_C_stretch,1.19,0.03861790757572039,1.2674921274223811e-55,0.0673219422639698,0.1306286635575955,False
0,qS2Bub_C_stretch,1.2,0.03872711091533001,1.6412312922412377e-53,0.06763839545596251,0.13048379352378406,False
0,qS2Bub_C_stretch,1.21,0.03870725003738356,2.4222864119499097e-52,0.06787735008007648,0.13061328261358243,False
0,qS2Bub_C_stretch,1.22,0.038421236378487794,1.5842553378717386e-50,0.06803777090997683,0.13109407741624268,False
0,qS2Bub_C_stretch,1.23,0.038372545768449305,4.722768896813079e-49,0.06825664120952467,0.13137772886315505,False
0,qS2Bub_C_stretch,1.24,0.03905546727543211,1.1896203288312126e-39,0.06822949112230998,0.13155720128345771,False
0,qS2Bub_C_stretch,1.25,0.03921943244883819,7.229686968185343e-33,0.06839471488967022,0.13178922935951062,False
0,qS2Bub_C_stretch,1.26,0.03942446353234656,3.909296798198533e-32,0.06860316812525434,0.13202980025209785,False
0,qS2Bub_C_stretch,1.27,0.03941169174576714,3.3447435899168965e-28,0.0684360753354187,0.1321731768908079,False
0,qS2Bub_C_stretch,1.28,0.04033184053523133,1.9609509959563306e-33,0.06843718933514047,0.13232932779939374,False
0,qS2Bub_C_stretch,1.29,0.04008255057370504,2.8446835447568496e-29,0.06844833520329618,0.13228924146721782,False
0,qS2Bub_C_stretch,1.3,0.040063344938610974,1.1389525065774226e-27,0.06851844215290065,0.13239629811427595,False
0,qS2Bdesub_C_stretch,0.75,0.05060593897548894,1.6394663562213294e-05,0.0650590108125096,0.12555564206671302,True
0,qS2Bdesub_C_stretch,0.76,0.05090984611278732,3.512535039893954e-08,0.06516767075818032,0.12581773601762392,True
0,qS2Bdesub_C_stretch,0.77,0.04986133562665083,3.7400266536090596e-08,0.06495317403297286,0.12631894271703903,True
0,qS2Bdesub_C_stretch,0.78,0.04928554442909039,3.3190894439843424e-09,0.06531610123497651,0.12636864218294488,True
0,qS2Bdesub_C_stretch,0.79,0.04950345138687372,1.7536646646528727e-08,0.06543720260534434,0.12640843633176205,True
0,qS2Bdesub_C_stretch,0.8,0.04854270464811203,3.246503193828205e-08,0.06529666036101552,0.12618834240122642,True
0,qS2Bdesub_C_stretch,0.81,0.04929566968149614,1.9485816704321436e-08,0.06522821305400948,0.1263067802594471,True
0,qS2Bdesub_C_stretch,0.82,0.04878361430295618,3.1489102208792213e-06,0.06509908898844019,0.12621750839737586,True
0,qS2Bdesub_C_stretch,0.83,0.04851302940862456,3.987318854430592e-08,0.0650091148244618,0.12626876978656934,True
0,qS2Bdesub_C_stretch,0.84,0.04868657036542202,2.6170979715621214e-11,0.06486420227452708,0.12619461246163274,True
0,qS2Bdesub_C_stretch,0.85,0.04795098203186783,4.539446829083905e-10,0.06489153702084972,0.12623364940374068,True
0,qS2Bdesub_C_stretch,0.86,0.04885738996242661,1.090884492108967e-09,0.06504078406467792,0.1264520021167375,True
0,qS2Bdesub_C_stretch,0.87,0.04877142465066205,2.5747524917105357e-10,0.0650382738445557,0.12676169888571165,True
0,qS2Bdesub_C_stretch,0.88,0.04819267943070558,1.7932685682314834e-12,0.06504428756096935,0.126826965268803,True
0,qS2Bdesub_C_stretch,0.89,0.048568894236650534,1.3560194404744458e-11,0.0650344827324274,0.12736794076824023,True
0,qS2Bdesub_C_stretch,0.9,0.04814563309968287,3.0100720398052475e-11,0.06499446825848129,0.12762408024845742,True
0,qS2Bdesub_C_stretch,0.91,0.047963065556400765,4.1821212956083313e-13,0.06514371626018066,0.12777626774090248,True
0,qS2Bdesub_C_stretch,0.92,0.04792417966283415,4.007233355004533e-12,0.06538967482920939,0.12772570512190887,True
0,qS2Bdesub_C_stretch,0.93,0.047832679482334856,7.591064982331201e-12,0.06572067792441107,0.127958207319034,True
0,qS2Bdesub_C_stretch,0.94,0.04651162005914565,1.449870006364922e-10,0.0660293431649899,0.12805431449077484,True
0,qS2Bdesub_C_stretch,0.95,0.04524590250849682,4.82287896677197e-13,0.06626694114901968,0.12798408664864788,True
0,qS2Bdesub_C_stretch,0.96,0.0467147873050555,1.6610805646094483e-19,0.06625201572703998,0.12782128044392208,True
0,qS2Bdesub_C_stretch,0.97,0.047478500879706606,5.858619237161404e-20,0.06625673676276855,0.12794936422190112,True
0,qS2Bdesub_C_stretch,0.98,0.04785210047104098,4.432008278008651e-22,0.06641686883399153,0.12767717396955236,True
0,qS2Bdesub_C_stretch,0.99,0.046555200257626876,1.6770745345188053e-15,0.06654727740593637,0.12757015961076448,True
0,qS2Bdesub_C_stretch,1.0,0.04636190679399855,4.404119838791561e-15,0.06655183698610166,0.12762898430318678,True
0,qS2Bdesub_C_stretch,1.01,0.046743701345633916,6.870144765106779e-17,0.06649730868953561,0.1278685990604643,True
0,qS2Bdesub_C_stretch,1.02,0.04563122347311383,1.8720925657800849e-16,0.06657343589369784,0.12819279025426283,True
