bootstrap,baseline_resolution,improved_resolution,delta,ratio
65,0.06631481682238731,0.06715247514616625,0.0008376583237789392,1.0126315409423878
66,0.06602054695561249,0.08256083945482776,0.016540292499215264,1.250532497259312
67,0.06131241010490466,0.06438008458952237,0.0030676744846177065,1.0500335002223686
68,0.06454783689996524,0.06569105253242057,0.0011432156324553272,1.0177111377756478
69,0.0678414944249613,0.07145176809792658,0.003610273672965278,1.0532163052062269
70,0.063320392804134,0.0676443140021328,0.004323921197998806,1.0682863925271877
71,0.06754494777527972,0.07039303470425781,0.0028480869289780886,1.0421658025179559
72,0.061598938317400154,0.0668218508873404,0.005222912569940244,1.0847890030673613
73,0.06694924819227782,0.07130876772757445,0.004359519535296633,1.065116781039514
74,0.06631525876715683,0.07207085542420662,0.005755596657049791,1.0867914378085832
75,0.06659733616219163,0.06850708928109556,0.0019097531189039285,1.0286761187302282
76,0.06507681637328269,0.06621068336860132,0.0011338669953186303,1.0174235166762728
77,0.06717038909792176,0.06898060052844075,0.0018102114305189876,1.0269495451020842
78,0.06275436799862945,0.06680764150317835,0.004053273504548899,1.064589504026834
79,0.06162627850943273,0.06388563937944272,0.0022593608700099896,1.0366622960960423
80,0.06574612527618556,0.06612485926883387,0.000378733992648303,1.0057605522919764
81,0.06615386327338345,0.06786459869727961,0.0017107354238961592,1.0258599473900183
82,0.06382873626895716,0.06780370374066408,0.0039749674717069194,1.0622755157638948
83,0.06500040970953944,0.06316820317690383,-0.0018322065326356052,0.9718123848630648
84,0.06314656920856068,0.06686581906812003,0.003719249859559348,1.0588986845393833
85,0.06665577454251545,0.07285340900286068,0.006197634460345228,1.0929797081030415
86,0.0652680376652962,0.06986976837860441,0.004601730713308216,1.0705051182464922
87,0.06662277529992151,0.0703637102626992,0.0037409349627776922,1.0561509925988042
88,0.06609996819772049,0.06656090647667808,0.0004609382789575872,1.0069733509943426
89,0.06651966608614088,0.06640779624144078,-0.00011186984470010208,0.9983182440429686
90,0.06669023323736985,0.07011156544862641,0.003421332211256567,1.0513018480394132
91,0.06530636341595515,0.06478936790826101,-0.0005169955076941429,0.9920835354986581
92,0.06566923773518303,0.06793051611994591,0.00226127838476288,1.0344343632231834
93,0.06281092516352174,0.06444569895942233,0.0016347737959005876,1.0260269020340749
94,0.0651844004109207,0.06707183341219877,0.0018874330012780688,1.028955286684847
95,0.06724912328791612,0.07186070511452747,0.004611581826611352,1.0685746014393023
96,0.06538720538526345,0.06836623233777153,0.002979026952508082,1.045559783981523
97,0.06493000689131247,0.06502059628540227,9.058939408980449e-05,1.0013951853453742
98,0.06566026518158273,0.06735821584419242,0.001697950662609693,1.0258596376044786
99,0.06359844007437662,0.0813558539988952,0.017757413924518572,1.2792114697113917
100,0.06402970836950818,0.06815104472100843,0.004121336351500249,1.0643660022269115
101,0.06538149886592148,0.0717611455222338,0.006379646656312313,1.097575717396677
102,0.06663906803045601,0.06757131918998976,0.0009322511595337563,1.0139895587841607
103,0.06725140814912625,0.0708261235683224,0.0035747154191961422,1.0531545066129977
104,0.06693332142373305,0.06709753524954619,0.00016421382581313648,1.0024533942484872
105,0.06999514380535403,0.06838532570046366,-0.0016098181048903731,0.9770010029643337
106,0.061622332728166515,0.06531319586022964,0.003690863132063127,1.0598948947347475
107,0.06724974575595886,0.06801494207889806,0.0007651963229391989,1.0113784270012858
108,0.06378804000714325,0.07970425723155927,0.015916217224416024,1.249517264092668
109,0.06720971387492532,0.06527794032789094,-0.0019317735470343739,0.971257524609771
110,0.06737369552338081,0.06943804416735366,0.0020643486439728548,1.0306402762671147
111,0.06541011174517543,0.06529418989234928,-0.00011592185282614798,0.9982277686166054
112,0.06761741764686596,0.07016450502215227,0.0025470873752863055,1.0376691016002497
113,0.06642425040250245,0.06912159624081449,0.0026973458383120347,1.0406078476154006
114,0.06601675140897251,0.07026800455634272,0.00425125314737021,1.0643965820286094
