scheme,outer_fold,method,complexity,alpha,inner_r68,inner_r90,inner_n
file_block5,0,r2_quad,3,0.75,0.06309764185668168,0.12258695877953026,3631
file_block5,0,dt_r2_joint,6,0.6518363448688389,0.06190834392607698,0.12538086720298194,3631
file_block5,0,dt_then_r2,6,1.0,0.06279244132460113,0.12397153078661463,3631
file_block5,0,r2_then_dt,6,0.75,0.06147310092742695,0.12196217887925646,3631
file_block5,0,xy_quad,6,1.0,0.06655258527406488,0.12845751051267865,3631
file_block5,0,dt_then_xy,9,1.0,0.06414359096135623,0.12768167925737184,3631
file_block5,0,dt_r2_then_xy,12,0.6518363448688389,0.05800745903041123,0.11493560057243758,3631
file_block5,1,raw,0,1.5,0.08007345665016771,0.1499957518163341,3561
file_block5,1,dt_quad,3,1.5341274046343907,0.07564480852476463,0.14289717586396108,3561
file_block5,1,r2_quad,3,0.75,0.0643330753056357,0.12381385906546405,3561
file_block5,1,dt_r2_joint,6,0.75,0.06278152893045486,0.1251761040568138,3561
file_block5,1,dt_then_r2,6,0.75,0.06418127421760374,0.12326325950039792,3561
file_block5,1,r2_then_dt,6,0.75,0.06241488347040215,0.12192263141532896,3561
file_block5,1,xy_quad,6,1.0,0.06725906109523293,0.12956458059933376,3561
file_block5,1,dt_then_xy,9,1.0,0.06466938084502964,0.12784278837073257,3561
file_block5,1,dt_r2_then_xy,12,0.42489062049196813,0.0566578061401608,0.11403096035439159,3561
file_block5,2,raw,0,1.5,0.08021059361890019,0.15140649877004145,3572
file_block5,2,dt_quad,3,1.5341274046343907,0.07540776697948559,0.14442970921325457,3572
file_block5,2,r2_quad,3,0.75,0.06321027728048717,0.12597765502582609,3572
file_block5,2,dt_r2_joint,6,0.75,0.06300191086154078,0.1280297405683933,3572
file_block5,2,dt_then_r2,6,1.0,0.06336531996021795,0.12522686601743058,3572
file_block5,2,r2_then_dt,6,1.0,0.06108825120421879,0.12174316166035754,3572
file_block5,2,xy_quad,6,1.0,0.06695860745775972,0.131445916306218,3572
file_block5,2,dt_then_xy,9,0.75,0.06546866179198922,0.12941176293335366,3572
file_block5,2,dt_r2_then_xy,12,0.75,0.05847066256313664,0.1163750924870904,3572
file_block5,3,raw,0,1.0,0.08052521139916677,0.14790972235985664,3627
file_block5,3,dt_quad,3,1.5,0.0756674406023635,0.14416026714070046,3627
file_block5,3,r2_quad,3,0.75,0.0638276070128445,0.12569019705038156,3627
file_block5,3,dt_r2_joint,6,0.75,0.061965422253232635,0.12886154790099577,3627
file_block5,3,dt_then_r2,6,0.75,0.06423782894548513,0.12447060205083811,3627
file_block5,3,r2_then_dt,6,0.75,0.06232467601639364,0.12343214155128486,3627
file_block5,3,xy_quad,6,1.0,0.06788659219540678,0.13115235769453717,3627
file_block5,3,dt_then_xy,9,1.0,0.06589762663038948,0.1287715983281521,3627
file_block5,3,dt_r2_then_xy,12,0.42489062049196813,0.05905781243392146,0.1173782503382244,3627
file_block5,4,raw,0,1.5,0.0793283101721105,0.15007839227312494,3609
file_block5,4,dt_quad,3,1.5,0.07560654995504396,0.142247512052454,3609
file_block5,4,r2_quad,3,0.75,0.0631567416204168,0.12365337990027057,3609
file_block5,4,dt_r2_joint,6,0.75,0.06183817815177953,0.12478263685442222,3609
file_block5,4,dt_then_r2,6,1.0,0.0628214634633687,0.1222310020984266,3609
file_block5,4,r2_then_dt,6,1.0,0.06084632826650456,0.12070935213316038,3609
file_block5,4,xy_quad,6,1.0,0.06611586769964024,0.13002024509589835,3609
file_block5,4,dt_then_xy,9,0.75,0.06455711488773919,0.12892831262318108,3609
file_block5,4,dt_r2_then_xy,12,0.6518363448688389,0.05909401703832498,0.11686794301569091,3609
