name,w_m06,w_s10,w_s02,sigma,sigma_gain,r68,r68_gain,r90,r90_gain,protocol_successes,background_applied,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safe,safety_pass_count
W_0.85_0.00_0.15,0.8500000000000001,0.0,0.1499999999999999,0.041777539906081435,8.04568904383407e-05,0.06776025456752387,-0.00027895786967291336,0.13118297771027487,0.0002803600541753104,12,0.7495447296671639,0.9999976981742255,1.1493506493506493,1.0067460317460317,0.997884845906881,1.002344162153635,7.077105570640896e-05,0.011530934433636175,10,False,11
W_0.00_0.35_0.65,0.0,0.35000000000000003,0.6499999999999999,0.041779815132787945,2.6000748359122916e-05,0.06774426247524483,-4.2882112562203645e-05,0.1308116278844644,0.0031103439486794837,12,0.7842687381038119,0.999970201474678,1.1357649442755826,1.020124716553288,0.9935484659536138,1.0065132298153836,0.0002175181669061832,0.0133920010282228,10,False,11
W_0.10_0.90_0.00,0.1,0.9,0.0,0.041782881049031266,-4.7380058077139964e-05,0.06773414127889733,0.00010652729859594867,0.1307652144596379,0.0034640515193270494,12,0.7201913678687175,0.9999735827722106,1.019140989729225,1.019140989729225,0.9940583450937632,1.0060535909959496,0.00017795077005544613,0.017645237849551187,10,False,11
W_0.30_0.50_0.20,0.30000000000000004,0.5,0.19999999999999996,0.04178906172785493,-0.00019531077777390493,0.06769929193509082,0.0006209743815903668,0.13082910002217119,0.0029771922279137053,12,0.7864087658830187,0.9999848195456471,1.0373626373626375,1.0373626373626375,0.9954560587575723,1.0045335021120516,9.29954998099003e-05,0.013701779539993741,10,False,11
W_0.85_0.05_0.10,0.8500000000000001,0.05,0.09999999999999991,0.0417920613932707,-0.0002671059116845509,0.06776303703406489,-0.0003200327261609903,0.13119537794215452,0.00018586032893386228,12,0.7864087658830187,0.9999977989035266,1.0993788819875776,0.9588057445200303,0.9979223154833733,1.0023281071048187,1.324783729517165e-05,0.013701779539993741,10,False,11
W_0.10_0.70_0.20,0.1,0.7000000000000001,0.19999999999999996,0.04179462981326573,-0.00032857945353792495,0.06777077076752401,-0.0004341983368763014,0.13073290372103458,0.0037102852954365995,12,0.7864087658830187,0.9999754271819321,1.0957142857142859,1.0957142857142859,0.994170064538421,1.005828945311507,8.962847060112189e-05,0.013701779539993741,10,False,11
W_0.30_0.40_0.30,0.30000000000000004,0.4,0.29999999999999993,0.041799347214579646,-0.00044148753230643933,0.06768211549322967,0.0008745335435864643,0.1308640116455271,0.002711137621283388,12,0.7864087658830187,0.9999850088171437,1.063063063063063,1.063063063063063,0.9954650539563564,1.004532378577558,0.0001368375548826961,0.013701779539993741,10,False,11
W_0.10_0.65_0.25,0.1,0.65,0.25,0.04180429252228912,-0.0005598504095010171,0.06776601820378492,-0.00036404084507690726,0.130721238871865,0.0037991808138596594,12,0.7864087658830187,0.9999757017513567,1.0034013605442178,0.954177897574124,0.9941756128971955,1.0058241565702462,0.00013121876037414104,0.013701779539993741,10,False,11
W_0.30_0.45_0.25,0.30000000000000004,0.45,0.24999999999999994,0.04180480833965347,-0.0005721961786500085,0.0676941606769942,0.0006967221711198235,0.13083133891899823,0.0029601300360891925,12,0.7864087658830187,0.9999849514605185,1.0535714285714286,1.0535714285714286,0.9954610022591337,1.0045317285595725,0.00011899795478531594,0.013701779539993741,10,False,11
W_0.30_0.10_0.60,0.30000000000000004,0.1,0.6,0.04180573769761852,-0.0005944397859540818,0.06766758223721665,0.0010890739149580497,0.1310382466387101,0.0013833270494302274,12,0.7864087658830187,0.9999838120180864,1.0344155844155845,1.0344155844155845,0.9954527787230323,1.0046127330814492,0.00016750947185895093,0.013701779539993741,10,False,11
