method,alpha,scale_train,validation_resolution,validation_mu,validation_sigma,validation_signal_fraction,fit_success
s2b_only_lifetime,0.77,1.0019633927029223,0.10550467853725307,1.0109027553379377,0.10665497023435251,0.9457843087520392,True
s2b_only_lifetime,0.79,1.0019633927029223,0.10550627219202684,1.0109028439842924,0.1066565906171008,0.945797413034293,True
s2b_only_lifetime,0.81,1.0019633927029221,0.10550451753371987,1.0109027322095228,0.1066548050352849,0.9457851631584389,True
s2b_only_lifetime,0.8300000000000001,1.0019633927029221,0.10550451084415902,1.0109027001397972,0.10665479488928886,0.9457846406293076,True
s2b_only_lifetime,0.8500000000000001,1.0019633927029223,0.10550408640094441,1.0109031766307754,0.10665441609024251,0.9457832212737001,True
s2b_only_lifetime,0.87,1.0019633927029226,0.10550452823560133,1.0109025859403518,0.10665480042178624,0.9457846616047001,True
s2b_only_lifetime,0.89,1.0019633927029226,0.1055046090849756,1.0109026650821742,0.1066548905024548,0.9457853457626523,True
s2b_only_lifetime,0.91,1.0019633927029223,0.10550447359539905,1.0109028989242788,0.10665477820706892,0.9457837429233218,True
s2b_only_lifetime,0.93,1.0019633927029223,0.105505082185143,1.010902600405371,0.10665536193694343,0.945787212061817,True
s2b_only_lifetime,0.9500000000000001,1.0019633927029226,0.10550565662542465,1.0109024193989966,0.10665592354292155,0.9457914512741363,True
s2b_only_lifetime,0.97,1.0019633927029221,0.1055044973552865,1.0109027148148608,0.10665478280163643,0.9457845762010122,True
raw_bottom,0.03,0.9861795897832637,0.13900429043590593,1.0071631570577544,0.14,0.7660601256285233,False
raw_bottom,0.05,0.9390498987410678,0.11603733931245856,1.0249955405255846,0.11893775532972413,0.5150748132036181,True
raw_bottom,0.07,0.9435004502043918,0.1334438895059991,1.0491300914434614,0.14,0.8054125105660932,False
raw_bottom,0.09,0.990245779455504,0.141663386608786,0.9858989591784504,0.13966578541129654,0.9315263636345569,True
raw_bottom,0.11,0.9911128127674039,0.13606595739734847,0.9940438205877646,0.1352555241431923,0.806530814678997,True
raw_bottom,0.13,0.9889590842724574,0.13971672764337942,1.0020274763186814,0.14,0.9470626049087955,False
raw_bottom,0.15,0.9862554125367213,0.1353382484231244,1.0055078828923858,0.13608367564629958,0.9990889488055994,True
raw_bottom,0.17,0.9914884255766335,0.13221924093217785,1.002813061754756,0.132591181822087,0.9990889472156474,True
raw_bottom,0.19,0.9988938049555586,0.12484348534698127,0.9960098095449371,0.12434533606337296,0.9990889488055994,True
raw_bottom,0.21,0.9644889870348866,0.12293023688245888,1.0328015019730348,0.12696253329010448,0.9990889488055994,True
raw_bottom,0.23,0.9706276314456272,0.11828088706863929,1.0275708042903682,0.12154198625729988,0.9990889488055994,True
raw_bottom,0.25,0.9701221436434683,0.11331319592045658,1.0289101881757288,0.1165891017373102,0.9990889488055994,True
raw_bottom,0.27,0.9747143204249179,0.10864634165024763,1.02348891648145,0.11119832649528538,0.9984478435087136,True
raw_bottom,0.29000000000000004,0.9734282201784684,0.10430552775576687,1.0239766812845368,0.1068064281509823,0.9815106473558678,True
raw_bottom,0.31000000000000005,0.974138682834367,0.10238887876136488,1.0263152761534882,0.10508327038101621,0.9990889488055994,True
raw_bottom,0.32999999999999996,0.9850867343826388,0.09896770498482,1.0140318294779227,0.10035640294498836,0.986685611027661,True
raw_bottom,0.35,0.9831784797042807,0.09760046910840921,1.0191213666824472,0.09946672346660997,0.9959545235407882,True
raw_bottom,0.37,0.9824819083064713,0.0932796203033168,1.0184359819841007,0.0949993217027125,0.9774944702926329,True
raw_bottom,0.39,0.9796955540574064,0.09005610433973205,1.0225509923382212,0.0920869588587074,0.9899399616059651,True
raw_bottom,0.41000000000000003,0.9750475124202436,0.08681942078951274,1.0276842027888626,0.08922294724066121,0.9843248855638581,True
raw_bottom,0.43000000000000005,0.9752459518538233,0.08566748482090668,1.0278151882900244,0.088050342041533,0.9831480109337434,True
raw_bottom,0.44999999999999996,0.9726664213445729,0.08526432618577434,1.029998558233881,0.08782213304013092,0.9922230791001934,True
