bootstrap,baseline_resolution,improved_resolution,delta,ratio
99,0.060112667412349136,0.04694305574321313,-0.013169611669136008,0.7809178624731843
100,0.07147598845291574,0.04835287502690961,-0.023123113426006127,0.676491169601127
101,0.06760764717438415,0.05059108488985761,-0.01701656228452654,0.748304178658447
102,0.061750695524427336,0.046332742250651766,-0.01541795327377557,0.7503193584649336
103,0.0630013049228457,0.04596974104437591,-0.01703156387846979,0.729663315715009
104,0.07044658823242175,0.04887073393054727,-0.021575854301874482,0.6937274771818603
105,0.06301815494191007,0.05241943988229241,-0.01059871505961766,0.8318148941461787
106,0.06048287967412583,0.04486837359641912,-0.01561450607770671,0.7418359350309425
107,0.062407674967294276,0.045231128792145046,-0.01717654617514923,0.724768689361511
108,0.06260231166657512,0.047717463430443065,-0.014884848236132057,0.7622316518372366
109,0.06447015393825868,0.04811484934043097,-0.016355304597827712,0.7463119971220986
110,0.06244509363048719,0.04754068547542058,-0.014904408155066613,0.7613197884967231
111,0.06696979293927113,0.0523015107199845,-0.014668282219286635,0.7809716653508548
112,0.06387646967330032,0.04905043654661505,-0.014826033126685276,0.7678952327435467
113,0.055469939237144286,0.04685773653793669,-0.008612202699207594,0.8447410828703303
114,0.061719159940261066,0.04381903532690925,-0.017900124613351817,0.7099745908616121
115,0.06075307006241491,0.04687614801428894,-0.013876922048125975,0.7715848428092693
116,0.06633219734153266,0.048137893208452444,-0.018194304133080215,0.7257093106775736
117,0.059537527517713004,0.043610650796658254,-0.01592687672105475,0.7324901220273827
118,0.06810587397807116,0.051103802204777074,-0.01700207177329409,0.7503582175779957
119,0.058451190729255614,0.043519301735495834,-0.01493188899375978,0.7445408928806275
120,0.06303530222307664,0.04853999090018014,-0.014495311322896505,0.7700445494558142
121,0.06271318425494042,0.045041319841309525,-0.017671864413630896,0.7182113358844677
122,0.05896878357529628,0.043896956430191196,-0.015071827145105084,0.7444100720534601
123,0.06529341658633812,0.04943346008414437,-0.015859956502193753,0.7570971572421551
124,0.06021224224702042,0.048194289201959145,-0.012017953045061272,0.8004068176740923
125,0.06419303411893072,0.04767884072414523,-0.016514193394785492,0.7427416600344895
126,0.06795061808994507,0.050454196868981296,-0.017496421220963773,0.7425126994753152
127,0.05447884680645799,0.04644847471355938,-0.008030372092898606,0.8525965110563486
128,0.05791227289629915,0.04850954250088229,-0.009402730395416857,0.8376383808617925
129,0.060787081871985914,0.04737430834205176,-0.013412773529934155,0.7793482905104627
130,0.0621280564311947,0.04666086291609457,-0.015467193515100126,0.7510433384918509
131,0.06390993639186453,0.04426500870956971,-0.019644927682294817,0.6926154399240564
132,0.06324046607693137,0.04918119860918835,-0.014059267467743025,0.7776855810860079
133,0.07024687658354932,0.052724667785048925,-0.017522208798500395,0.7505624498811694
134,0.05279555751658632,0.04071503362292397,-0.012080523893662355,0.771182946787386
135,0.06634652426179515,0.050530523610496085,-0.01581600065129906,0.761615234147141
