method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
exploratory_ub_bottom_stretch,29,0.04927448225398112,0.048323296665580405,-0.0009511855884007173,0.9806961829959387
exploratory_ub_bottom_stretch,30,0.048453440129068694,0.04722485914989461,-0.001228580979174082,0.9746440918147106
exploratory_ub_bottom_stretch,31,0.04965727212112372,0.0483377809647259,-0.0013194911563978173,0.9734280378273836
exploratory_ub_bottom_stretch,32,0.04770878597175346,0.04637237682390055,-0.0013364091478529072,0.9719881962906342
exploratory_ub_bottom_stretch,33,0.04696599513161659,0.045900745336926084,-0.0010652497946905051,0.9773187006534139
exploratory_ub_bottom_stretch,34,0.04867237930238611,0.047361791507580124,-0.0013105877948059869,0.9730732745431712
exploratory_ub_bottom_stretch,35,0.04793202702958922,0.04679062840527767,-0.0011413986243115487,0.9761871405186568
exploratory_ub_bottom_stretch,36,0.04813360029848683,0.04675765541135367,-0.0013759448871331625,0.9714140459346354
exploratory_ub_bottom_stretch,37,0.04764253708282842,0.04580908395360625,-0.0018334531292221734,0.9615164673947854
exploratory_ub_bottom_stretch,38,0.04789136022203979,0.04620748456155922,-0.0016838756604805674,0.9648396777065096
exploratory_ub_bottom_stretch,39,0.05029624925117573,0.048616161151876315,-0.0016800880992994122,0.9665961552936249
exploratory_ub_bottom_stretch,40,0.04682500989924875,0.04515678650057019,-0.0016682233986785658,0.9643732398077863
exploratory_ub_bottom_stretch,41,0.04888384645329598,0.04743790282747563,-0.001445943625820352,0.9704208295637738
exploratory_ub_bottom_stretch,42,0.049194406197371206,0.048299870044345244,-0.0008945361530259613,0.9818163034748906
exploratory_ub_bottom_stretch,43,0.04761195710307811,0.04652914226832958,-0.0010828148347485286,0.9772575020933444
exploratory_ub_bottom_stretch,44,0.04814059448213517,0.04647807086129867,-0.0016625236208364993,0.9654652453148775
exploratory_ub_bottom_stretch,45,0.04878692469849821,0.047803054371760495,-0.000983870326737718,0.9798333194228165
exploratory_ub_bottom_stretch,46,0.049231027371782664,0.04818432180056694,-0.0010467055712157225,0.9787389045670079
exploratory_ub_bottom_stretch,47,0.04900857409647954,0.04764653677676149,-0.0013620373197180471,0.9722081830612598
exploratory_ub_bottom_stretch,48,0.050163886378968243,0.049281489428449766,-0.000882396950518477,0.9824097171448736
exploratory_ub_bottom_stretch,49,0.04825004672873851,0.04680262122649495,-0.0014474255022435614,0.9700015730475666
exploratory_ub_bottom_stretch,50,0.0483426335817656,0.047075471305718916,-0.0012671622760466808,0.9737878931667339
exploratory_ub_bottom_stretch,51,0.04822666274844436,0.04727399780190329,-0.0009526649465410666,0.9802460943335376
