method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
documented_corrected_lifetime,96,0.06462923364890577,0.05066464931146255,-0.013964584337443221,0.7839277437002434
documented_corrected_lifetime,97,0.06487461570512063,0.0515524433503938,-0.013322172354726824,0.7946473792572263
documented_corrected_lifetime,98,0.06448863391700986,0.049181911289375324,-0.015306722627634536,0.7626446445224333
documented_corrected_lifetime,99,0.06364372464997949,0.050004123024381855,-0.01363960162559763,0.7856881931311978
documented_corrected_lifetime,100,0.06392712646356688,0.04991190197915468,-0.014015224484412198,0.7807624828499103
documented_corrected_lifetime,101,0.06376450340899598,0.04879615608385468,-0.014968347325141296,0.7652558002509349
documented_corrected_lifetime,102,0.06713129814999538,0.051298090612092256,-0.015833207537903127,0.764145667159213
documented_corrected_lifetime,103,0.0666278409408983,0.05287166335779879,-0.013756177583099508,0.7935370951716443
documented_corrected_lifetime,104,0.06393736679191954,0.05070474899965415,-0.013232617792265387,0.7930378047108169
documented_corrected_lifetime,105,0.06703010190245921,0.051980346463460524,-0.01504975543899869,0.7754776583675976
documented_corrected_lifetime,106,0.06042877882366453,0.047695310724453356,-0.012733468099211172,0.7892813929540371
documented_corrected_lifetime,107,0.06521066726433165,0.04906979260079325,-0.016140874663538404,0.7524810688087071
documented_corrected_lifetime,108,0.061380919415815326,0.047909396465059616,-0.01347152295075571,0.7805258852593099
documented_corrected_lifetime,109,0.06468361459628853,0.05143380164153338,-0.01324981295475515,0.7951596700733016
documented_corrected_lifetime,110,0.06501008612218115,0.0505659903694725,-0.01444409575270865,0.7778176185528789
documented_corrected_lifetime,111,0.06354139131968499,0.04854154394619748,-0.014999847373487508,0.7639358052765743
documented_corrected_lifetime,112,0.06658368822524732,0.05140122530996652,-0.015182462915280803,0.7719792441668335
documented_corrected_lifetime,113,0.06400941410228442,0.04930516206442478,-0.01470425203785964,0.7702798526735013
documented_corrected_lifetime,114,0.06476107438928964,0.04981985774715477,-0.014941216642134873,0.769287078958562
documented_corrected_lifetime,115,0.06139479061180163,0.051299799661260026,-0.010094990950541602,0.8355725160075538
documented_corrected_lifetime,116,0.06615722231742233,0.05183858335487207,-0.014318638962550256,0.7835665032330191
documented_corrected_lifetime,117,0.06404262032347956,0.04931279467981877,-0.014729825643660786,0.7699996413441491
documented_corrected_lifetime,118,0.06457962316659974,0.04806739744957067,-0.016512225717029066,0.7443121389167674
documented_corrected_lifetime,119,0.06856725766537114,0.05386214723598156,-0.01470511042938958,0.7855374280658132
documented_corrected_lifetime,120,0.06561819746615816,0.04876258941100835,-0.01685560805514981,0.7431260122035065
documented_corrected_lifetime,121,0.06538817975636443,0.051494083626090134,-0.0138940961302743,0.7875136426485103
documented_corrected_lifetime,122,0.0660679277191049,0.05157798463395562,-0.014489943085149282,0.7806811325041876
documented_corrected_lifetime,123,0.06413488881205484,0.04979211094083818,-0.014342777871216662,0.7763654363969088
documented_corrected_lifetime,124,0.06572024025224636,0.05117322522959333,-0.014547015022653029,0.7786524369536857
documented_corrected_lifetime,125,0.06134050296124535,0.04721328049503479,-0.014127222466210565,0.7696917732295726
documented_corrected_lifetime,126,0.06435925819695512,0.050448391814241864,-0.013910866382713258,0.7838560174179977
documented_corrected_lifetime,127,0.06465162103005571,0.05073417931094193,-0.013917441719113785,0.7847317438081909
documented_corrected_lifetime,128,0.06720768842574926,0.05056603957275133,-0.016641648852997924,0.7523847458109865
documented_corrected_lifetime,129,0.0639254479359016,0.050197704606536886,-0.013727743329364717,0.7852538578512644
documented_corrected_lifetime,130,0.06503551127074772,0.05058776432509466,-0.01444774694565306,0.7778483375719766
documented_corrected_lifetime,131,0.06654375411484108,0.052749311491081564,-0.013794442623759513,0.7927011662138405
documented_corrected_lifetime,132,0.06098912327329296,0.049463266298151905,-0.011525856975141052,0.81101782815448
documented_corrected_lifetime,133,0.0659478131039171,0.051672643833956734,-0.01427516926996037,0.7835383980441276
documented_corrected_lifetime,134,0.06485635618950998,0.050754286967446445,-0.014102069222063536,0.7825645773120933
documented_corrected_lifetime,135,0.06304453827463104,0.049724104593625536,-0.013320433681005502,0.7887139148679337
documented_corrected_lifetime,136,0.062671314751903,0.04971056031845593,-0.012960754433447075,0.7931947895978435
documented_corrected_lifetime,137,0.06065637507679574,0.04820223174233954,-0.0124541433344562,0.7946770917535333
documented_corrected_lifetime,138,0.06886709618372143,0.05333616306654683,-0.0155309331171746,0.77447962847538
documented_corrected_lifetime,139,0.06027188869114135,0.04911602990565,-0.01115585878549135,0.8149077616820888
documented_corrected_lifetime,140,0.06500439604855049,0.05105632861312141,-0.013948067435429076,0.7854288589188407
documented_corrected_lifetime,141,0.06420884132799635,0.04965821154288765,-0.014550629785108703,0.7733858844955619
documented_corrected_lifetime,142,0.06542539008076366,0.05044528896585098,-0.01498010111491268,0.7710353565118885
documented_corrected_lifetime,143,0.06552340967630925,0.05134758919714963,-0.01417582047915962,0.7836525823489761
documented_corrected_lifetime,144,0.06123323952616399,0.050156276803067515,-0.011076962723096474,0.8191021280465903
documented_corrected_lifetime,145,0.06737154253716923,0.04995297662384143,-0.0174185659133278,0.7414551417801086
documented_corrected_lifetime,146,0.06684208525577265,0.0514318076435214,-0.01541027761225125,0.7694524706510353
documented_corrected_lifetime,147,0.06514258644628063,0.05315420283442547,-0.011988383611855155,0.8159670306959443
documented_corrected_lifetime,148,0.06437151007882425,0.05096624631237533,-0.013405263766448919,0.7917516033096956
documented_corrected_lifetime,149,0.06391203107911267,0.051944920633569806,-0.011967110445542863,0.8127565304452689
documented_corrected_lifetime,150,0.06366937328688314,0.04900733199191033,-0.01466204129497281,0.7697159475889892
documented_corrected_lifetime,151,0.062192182714651816,0.05018286631885456,-0.012009316395797255,0.806899904914127
documented_corrected_lifetime,152,0.06734284662814333,0.05243354633619849,-0.014909300291944837,0.7786060281313669
documented_corrected_lifetime,153,0.062279038239945225,0.04792651093761533,-0.014352527302329894,0.7695448146287476
documented_corrected_lifetime,154,0.067447734179778,0.05147045522340164,-0.01597727895637635,0.7631161498503441
documented_corrected_lifetime,155,0.06275475540373501,0.049604752439647834,-0.013150002964087179,0.7904540798623761
documented_corrected_lifetime,156,0.06434436470048749,0.049231695930636914,-0.015112668769850575,0.7651283241322285
documented_corrected_lifetime,157,0.06200645699914584,0.0486434222477483,-0.013363034751397537,0.7844896257887849
documented_corrected_lifetime,158,0.06386775238065587,0.0501818318178237,-0.013685920562832167,0.7857146986907695
documented_corrected_lifetime,159,0.0638607474123628,0.05065202289304193,-0.013208724519320876,0.7931636403496931
documented_corrected_lifetime,160,0.06535254917852266,0.04999593026017609,-0.015356618918346575,0.7650188231158802
documented_corrected_lifetime,161,0.06492398174381533,0.05063656651960955,-0.014287415224205784,0.779936244813469
documented_corrected_lifetime,162,0.06451974703635752,0.04924653901703948,-0.015273208019318037,0.7632785508177607
documented_corrected_lifetime,163,0.06669043401405811,0.050159150477300074,-0.016531283536758035,0.7521191190137809
documented_corrected_lifetime,164,0.06277050350703943,0.05001584630336546,-0.01275465720367397,0.7968049244300933
documented_corrected_lifetime,165,0.0672487895114746,0.05052360009907954,-0.016725189412395064,0.7512938220316775
documented_corrected_lifetime,166,0.06288545130147016,0.0519237447643515,-0.010961706537118664,0.8256877177430323
documented_corrected_lifetime,167,0.06052139163103857,0.04988983317613704,-0.010631558454901532,0.8243338732242715
documented_corrected_lifetime,168,0.06578581344658481,0.051501598953711834,-0.014284214492872975,0.7828678594288245
documented_corrected_lifetime,169,0.06570014082077313,0.05133384018091688,-0.014366300639856257,0.7813353143481557
