bootstrap,baseline_resolution,improved_resolution,delta,ratio
116,0.06633219734153266,0.048690768882576535,-0.017641428458956124,0.7340442625754797
117,0.059537527517713004,0.04700171867975067,-0.012535808837962334,0.7894469360651094
118,0.06810587397807116,0.0495557278654828,-0.018550146112588366,0.7276278090409475
119,0.058451190729255614,0.04420963895045457,-0.014241551778801043,0.7563513830750251
120,0.06303530222307664,0.046351488731457814,-0.016683813491618828,0.7353258744984483
121,0.06271318425494042,0.044731866266179046,-0.017981317988761375,0.7132769097537119
122,0.05896878357529628,0.04654894444334342,-0.01241983913195286,0.7893828161455261
123,0.06529341658633812,0.045480014314449486,-0.019813402271888637,0.696548238585598
124,0.06021224224702042,0.048008579067777335,-0.012203663179243082,0.7973225589378051
125,0.06419303411893072,0.0462013050158035,-0.01799172910312722,0.7197245877209377
126,0.06795061808994507,0.044553615804489986,-0.023397002285455083,0.655676387601289
127,0.05447884680645799,0.046026707281920626,-0.008452139524537362,0.8448546542373684
128,0.05791227289629915,0.04694714867958773,-0.01096512421671142,0.8106597501993029
129,0.060787081871985914,0.04748798180810623,-0.01329910006387968,0.7812183172094554
130,0.0621280564311947,0.049100553323325996,-0.013027503107868703,0.7903120770839445
131,0.06390993639186453,0.04581013470413048,-0.01809980168773405,0.7167920559839881
132,0.06324046607693137,0.04796164062709106,-0.015278825449840314,0.7584011251394988
133,0.07024687658354932,0.04821664765995466,-0.022030228923594658,0.6863884916307612
134,0.05279555751658632,0.04543179089695671,-0.007363766619629612,0.8605229878041121
135,0.06634652426179515,0.04802967843450046,-0.018316845827294682,0.7239215462890161
136,0.05672138574618752,0.04679762637934591,-0.00992375936684161,0.8250437778222189
137,0.051297310758365106,0.04420526759475865,-0.007092043163606454,0.86174629705223
138,0.06039279352366784,0.04535638277594344,-0.015036410747724396,0.7510230961276588
139,0.06968056514339388,0.047608204955288495,-0.022072360188105385,0.6832350578287758
140,0.05830865219322309,0.046107243719232104,-0.01220140847399099,0.7907444604694688
141,0.06505052805498447,0.04845648367118028,-0.016594044383804192,0.7449053085352675
142,0.05582079776218267,0.04510923639784767,-0.010711561364335001,0.8081080566069616
143,0.06380407074738803,0.0468181386897092,-0.01698593205767883,0.7337798065435475
144,0.06049653564948769,0.04649882951642815,-0.013997706133059541,0.7686197071818925
145,0.06356612291840731,0.04733968159558292,-0.016226441322824393,0.7447313037535347
146,0.06648877582810706,0.04827012696179438,-0.01821864886631268,0.7259891065912656
147,0.06087478819066889,0.049192545877222,-0.011682242313446889,0.8080939143992358
148,0.06525280616189603,0.05023744185734815,-0.015015364304547883,0.7698893704694648
149,0.06354491400421675,0.04634160054617336,-0.017203313458043386,0.7292731648531022
150,0.06707999838034687,0.04889148596106798,-0.018188512419278886,0.7288534159445095
151,0.06426387646169816,0.04703716411765153,-0.017226712344046637,0.7319378585212812
152,0.06177473772958065,0.04747867968944166,-0.01429605804013899,0.768577600398401
153,0.054704450499580615,0.04895669679966517,-0.005747753699915446,0.8949307844713748
154,0.06410867316997515,0.046017927934708006,-0.018090745235267144,0.717811267325685
155,0.06867883530379637,0.049459572423116306,-0.019219262880680064,0.720157413915584
156,0.053892070982334866,0.044752867890587314,-0.009139203091747553,0.8304165543249717
157,0.06393027383103625,0.04361603158651955,-0.020314242244516702,0.6822437786172169
158,0.06480396201795156,0.04681108681349294,-0.017992875204458622,0.7223491489690961
159,0.06534466976852447,0.048035355957875774,-0.0173093138106487,0.7351074866249254
160,0.05785245609072529,0.048643457751886596,-0.009208998338838696,0.8408192329052205
161,0.05734701937212175,0.044970516982270003,-0.012376502389851746,0.7841822901109946
162,0.06042266922367872,0.04445537076651543,-0.01596729845716329,0.7357399356514036
163,0.061800216897666654,0.04551392784441039,-0.016286289053256263,0.7364687395802462
164,0.05995565400411202,0.0487298896092147,-0.011225764394897322,0.8127655417764702
165,0.05805796059928132,0.04666901732609283,-0.011388943273188484,0.8038349408826898
166,0.05958744928623833,0.04474956319622422,-0.014837886090014116,0.7509897425087314
167,0.0616743084969662,0.045590410710979634,-0.016083897785986567,0.7392123531181911
168,0.060282229683289536,0.045137074312397614,-0.015145155370891922,0.7487625217172381
169,0.0600829117650306,0.04685794071504153,-0.01322497104998907,0.7798879804342929
170,0.061813902009107385,0.04553304320174991,-0.016280858807357475,0.7366149316223602
171,0.06617381177949985,0.04501588075095789,-0.021157931028541965,0.6802673072688774
172,0.06433998031428768,0.04827716801589696,-0.016062812298390725,0.750344774432209
173,0.061423953375350226,0.04846083659873503,-0.0129631167766152,0.7889566518553432
174,0.06696814968951076,0.04740270226922845,-0.01956544742028231,0.707839510110478
