base,config,repeat,sigma_over_mu,fit_p,r68,r90
current_k100,flexible_lad,6,0.026254674239812644,1.5479199990231158e-69,0.02848261655738275,0.06429912229422437
current_k100,flexible_lad,7,0.025753538040102095,6.657596061382952e-67,0.02856787394027847,0.06469389277560758
current_k100,aggressive_lad,0,0.021001110383835415,3.711487375534835e-152,0.023694249923672982,0.056030080446116154
current_k100,aggressive_lad,1,0.02174740899960054,1.8450792021550108e-155,0.023796453724980408,0.05616276176276496
current_k100,aggressive_lad,2,0.02116702721470925,4.839163147454605e-162,0.023676753635330963,0.0563577014611443
current_k100,aggressive_lad,3,0.021500920693354443,2.565062324741862e-149,0.024052548952986575,0.05610249130300746
current_k100,aggressive_lad,4,0.021015952983543727,1.43671641516404e-159,0.023559798587602567,0.0561508849082479
current_k100,aggressive_lad,5,0.02128169133254262,7.583385578058301e-153,0.02389060389163101,0.05571870403998094
current_k100,aggressive_lad,6,0.021861845034084847,1.2401131139690227e-139,0.024190852978449428,0.05590820886241824
current_k100,aggressive_lad,7,0.021074800555768283,1.521062027559534e-158,0.023597296068955016,0.055914741383323835
current_k100,balanced_l2,0,0.03287149140013952,5.0006376251072474e-21,0.035295126195208824,0.07064712112265203
current_k100,balanced_l2,1,0.033008493266893785,1.9265692679468423e-18,0.035164523983755226,0.06983819621518521
current_k100,balanced_l2,2,0.03228005780568789,5.8368800366114066e-18,0.03514128111879679,0.07048964223688932
current_k100,balanced_l2,3,0.03272931073151727,3.587210198205027e-22,0.03538114987456218,0.07082152684364638
current_k100,balanced_l2,4,0.032583406933068375,9.21983646215889e-19,0.03496907885814402,0.07101166679464527
current_k100,balanced_l2,5,0.033090421721602606,4.5132410673518936e-23,0.03530861297833193,0.070736078923088
current_k100,balanced_l2,6,0.03289934699990426,3.282166375300746e-19,0.035302440587901544,0.07071357411104252
current_k100,balanced_l2,7,0.03267451486770206,3.770171380642736e-26,0.03498415874040877,0.07031635061199726
