id,set,features,bins,shrink,cap,sigma_gain,r68_gain,r90_gain,protocol,bg_applied,bg_ood,bg_strong,rank,spike,spike2600,q01,q99,time_span,time_coverage,blocks,safe,passes
corrected_xy_b8_s3_c75,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,8,0.3,0.0075,-0.010278894280179252,0.0026261633596992295,0.0026116950103924896,12,0.9047276094449302,0.004928237049230928,0.08733988373887545,0.9999599534882838,1.0702947845804989,0.985797827903091,0.9933308968191354,1.0066394428775112,0.00016410106263897717,0.0060802178127885576,10,False,14
both_xy_b4_s6_c50,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,4,0.6,0.005,-0.017184710493968858,0.00010917513682917601,0.0026540974646543924,12,0.5682905499254077,0.004959102834507948,0.42713102525850094,0.999985325201239,1.0535714285714286,1.0535714285714286,0.9955622551411233,1.0044865797693403,0.00025448820146567463,0.01275441413764955,10,False,14
corrected_xy_b8_s6_c50,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,8,0.6,0.005,-0.0178499735968376,-0.0007343503914798433,-0.0018112084493351333,12,0.436750861669839,0.004928237049230928,0.5608107412932763,0.999988904486061,1.027363184079602,1.027363184079602,0.9955876207887999,1.0044761099320492,0.00029681854491925286,0.014966969446738254,10,False,14
top_xy_b4_s6_c50,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,0.6,0.005,-0.018118866178713278,-0.0009571046044203335,0.0035206658655618783,12,0.5802356088276146,0.0006584700859097691,0.41765522917845566,0.9999841486258447,0.9950396825396826,0.9276729559748428,0.9955511068304779,1.0044945495253155,0.0002743397101003797,0.013787780144151163,10,False,14
top_xy_b4_s3_c75,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,0.3,0.0075,-0.01929462373852253,0.002266576146203625,0.007241196841994646,12,0.9961726426256494,0.0006584700859097691,0.0,0.9999662158370075,1.0243055555555556,1.0159438775510203,0.9934595531177743,1.0055908378812406,0.00016400309810404856,0.0008257957916470993,10,False,14
corrected_xy_b4_s9_c75,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,0.9,0.0075,0.006660569841018593,-0.003031919833017538,0.005700440528871642,12,0.6240958897062606,0.004928237049230928,0.37102731621997015,0.9999622358995238,1.1467444120505346,1.046685340802988,0.9933371017028878,1.0067525346211201,0.000413033302417265,0.01131521874474517,10,False,13
both_xy_b6_s9_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,6,0.9,0.0025,-0.0005583165090696784,-0.0005168065603873284,0.0005798111771767589,12,0.17679921806677298,0.004959102834507948,0.8217295128350224,0.9999987993646219,1.155026455026455,0.9742703533026115,0.9978483914443429,1.0021960012958497,0.00037273163646345253,0.014760528488852204,10,False,13
corrected_xy_b8_s9_c25,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,8,0.9,0.0025,-0.000919837304441895,-0.0005204611568843109,-0.002447668645151113,12,0.17664488914038787,0.004928237049230928,0.8228303925099028,0.9999987105561993,1.0535714285714286,1.0535714285714286,0.9978571636453644,1.002185032832546,0.00021788253639187793,0.014158581257794539,10,False,13
top_xy_b8_s6_c75,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,8,0.6,0.0075,-0.0012916113435010868,-0.0066018108277083876,-0.0009049543526533643,12,0.6371521168784402,0.0006584700859097691,0.3603477545141211,0.9999654050964154,1.068840579710145,1.0271377368151562,0.9933390318006554,1.0067431138687712,0.00023395245921120633,0.017547481420313815,10,False,13
top_xy_b4_s6_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,0.6,0.0025,-0.0016668403670661025,0.0010150439529805766,-0.0031170139125848983,12,0.27136169556047124,0.0006584700859097691,0.7278563712125109,0.9999980492753443,1.0476190476190477,1.0476190476190477,0.9977994691958151,1.0022193224855955,0.000128082310627331,0.018579686209743984,10,False,13
both_xy_b4_s3_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,4,0.3,0.0025,-0.002525693622581482,-0.0019059303276482975,-0.0013144820398398593,12,0.5190287566232831,0.004959102834507948,0.476526570296826,0.9999966091048794,1.0786564625850341,1.0786564625850341,0.997779436018041,1.002240792345983,0.00015291530470640247,0.016052132126644914,10,False,13
top_xy_b6_s3_c75,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,6,0.3,0.0075,-0.002527265746542051,-0.0022872276927634605,0.004297135781882955,12,0.9539585369617779,0.0006584700859097691,0.04225526004424096,0.9999587770444857,1.0454042081949058,1.0132708821233412,0.993295504859097,1.00639538437608,0.00018621107053395924,0.007122213047068504,10,False,13
